web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,data-page-selector,data-page-selector-href,Article-headline-0,image-0-src,Article Section-0,Product Category-0,Product Subtitle-0,Product Description-0
"1758850584-1","https://www.gssante.com/category/nos-produits/forte-pharma/minceur/?action=souscat&id_cat=5","SANTÉ","https://www.gssante.com/category/nos-produits/forte-pharma/produit-des-sante/?action=souscat&id_cat=5","Produits des Santé
                                Forté Flex Max Articulations
                                                                120 Comprimés
                                                            
                                                        Voir plus","https://www.gssante.com/forte-flex-max-articulations/?action=souscat&id_cat=5&id_cat1=47","Forté Flex Max Articulations","https://www.gssante.com/MtdGssante/uploads/2024/02/forte-flex.jpg","Nos Produits","MINCEUR","120 Comprimés","FORTE PHARMA FORTE FLEX MAX ARTICULATIONS 120CPS
FORTE PHARMA FORTE FLEX MAX ARTICULATIONS aide à maintenir le confort et la souplesse de vos articulations grâce à son dosage fort en Glucosamine sulfate et en Chondroïtine sulfate.
FORTE PHARMA ARTICULATIONS associe des composants essentiels du cartilage (glucosamine et chondroïtine), à un composé soufré, du collagène II, un trio de plantes et des vitamines et minéraux.
Très complète, la formule réunit 11 ingrédients dont le Curcuma pour vous aider à retrouver votre mobilité :

du curcuma, qui contribue à la souplesse et au confort articulaire
un fort dosage en glucosamine et en chondroïtine. Ils sont produits naturellement par votre organisme pour constituer le cartilage. Nous les avons associés à un composé soufré : le MSM (Méthyl-Sulfonyl-Méthane)
du collagène de type II. Il s’agit de la protéine principale qui constitue le cartilage articulaire
des plantes telles que l’Harpagophytum et l’Ashwagandha
de la vitamine C qui contribue à la formation normale de collagène pour assurer la fonction normale des cartilages et de la vitamine D qui contribue au maintien d’une ossature normale et d’une fonction musculaire normale
des minéraux, le Manganèse et le Sélénium, qui contribuent à protéger les cellules contre le stress oxydatif

Composition : 
Ingrédients par dose journalière : agent de  charge  (cellulose  microcristalline),  sulfate  de glucosamine  2KCl  (crustacés)  (1100mg),  sulfate  de chondroïtine  sodique  (950mg),  méthylsulfonylméthane (200mg),  agents  d’enrobage  (hydroxypropylméthylcellulose,  hydroxypropylcellulose,  amidon  modifié, talc, acide stéarique), poudre de curcuma (Curcuma longa L.) (100 mg), vitamine C  (acide L-ascorbique), extrait  d’Ashwagandha  (Withania  somnifera  (L.) Dunal)  (50  mg  soit  500  mg  en  EPS*),  antiagglomérant  (sels  de  magnésium  d’acides  gras),  gluconate de manganèse,  collagène  de  type  II  (10)  (hydrolysé), extrait  d’Harpagophytum  (Harpagophytum procumbens (Burch.) DC.) (7,5 mg soit 150 mg en EPS*),  vitamine  D3  (cholécalciférol),  sélénite  de sodium.
Conseils d’utilisation : 


Prendre 2 comprimés de FORTE FLEX MAX 2 fois par jour matin et soir , les premières semaines, puis 2 à 4 comprimés en fonction des besoins.
1 à 3 mois.
 Ne pas dépasser la dose journalière conseillée. Tenir hors de la portée des jeunes enfants.
Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 15 ans sans avis médical. Contient de la glucosamine, de la chondroïtine, du curcuma, déconseillés aux personnes diabétiques, prédiabétiques, asthmatiques et sous anticoagulants. Contient de l’harpagophytum, ne pas utiliser en cas d’ulcère gastrique ou duodénal ou de calculs biliaires.
A conserver à une température inférieure à 25°C et à l’abri de l’humidité dans son emballage hermétiquement fermé."
"1758850587-2","https://www.gssante.com/category/nos-produits/forte-pharma/minceur/?action=souscat&id_cat=5","SANTÉ","https://www.gssante.com/category/nos-produits/forte-pharma/produit-des-sante/?action=souscat&id_cat=5","Produits des Santé
                                Forté Stresse 24H
                                                                15 Comprimes 
                                                            
                                                        Voir plus","https://www.gssante.com/forte-stresse-24h/?action=souscat&id_cat=5&id_cat1=47","Forté Stresse 24H","https://www.gssante.com/MtdGssante/uploads/2024/02/stresse.jpg","Nos Produits","MINCEUR","15 Comprimes","FORTE PHARMA FORTÉ STRESS 24H – 15 Comprimes
FORTE PHARMA FORTÉ STRESS 24H permet de vous aider à réduire votre fatigue et augmenter votre résistance au stress passager.
Ses comprimés bicouches à double libération vous procureront un effet immédiat puis prolongé pour des journées plus sereines.
Forté Stress 24h vous propose une formule complète et innovante pour augmenter votre résistance au stress passager et vous aider à vivre vos journées plus sereinement. 
Une composition idéale pour des journées plus sereines :

Du Magnésium marin, de la vitamine B6 contre la fatigue, associés à de la L-théanine ;
Un complexe synergique de 3 plantes : Schisandra, Rhodiola et Ashwagandha contre le stress.
De nombreuses autres vitamines essentielles au bon fonctionnement de votre organisme. 

Grâce à sa technologie innovante et son comprimé bicouche, Forté Stress 24h possède une double action :

Un effet immédiat pour démarrer la journée sereinement grâce à la libération instantanée du magnésium marin et de la vitamine B6 ;
Un effet prolongé tout au long de la journée grâce à la libération progressive du complexe synergique de 3 plantes. 

Composition : 
Ingrédients par dose journalière : stabilisants (hydroxypropylméthylcellulose, copolymère d’acétate de vinyle et  de  polyvinylpyrrolidone, hydroxypropylcellulose, sels de magnésium d’acides  gras),  extrait sec  de  Schisandra  (Schisandra chinensis  (Turcz.)  Baill.)  (200), oxyde  de  magnésium  marin, extrait  sec  de  Rhodiola  rosea (Sedum roseum (L.) Scop.)  (100), extrait sec de thé vert (Camellia sinensis  (L.)  Kuntze)  (100)  titré  en L-théanine,  sec  extrait d’Ashwagandha  [Withania somnifera Dunal (Physalis somnifera  L.)]  (50),  anti-agglomérant (dioxyde  de  silicium),  vitamine B3  (nicotinamide),  vitamine  B5 (D-pantothénate  de  calcium), agents  d’enrobage  (hydroxypropylméthylcellulose, cellulose microcristalline,  acide  stéarique), vitamine  B6  (chlorhydrate  de pyridoxine),  vitamine  B2 (riboflavine), colorant (oxyde de fer), vitamines B1 (chlorhydrate de thiamine)  et  B9  (acide  folique).
 
Conseils d’utilisation : 

1 comprimé de forte stress 1 fois pas jour. Le matin avec un verre d’eau pendant 15 jours
Un complément alimentaire ne doit pas se substituer à une alimentation variée et équilibrée et à un mode de vie sain.
Ne pas dépasser la dose journalière conseillée.
Tenir hors de la portée des jeunes enfants.
Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans sans avis médical.
Demandez conseil à un professionnel de santé en cas de traitement médical.
Ce complément alimentaire n’est pas un médicament.
Consultez votre médecin ou votre pharmacien en cas d’usage concomitant d’anticoagulants.
A conserver à une température inférieure à 25°C et à l’abri de l’humidité dans son emballage hermétiquement fermé."
"1758850593-3","https://www.gssante.com/category/nos-produits/forte-pharma/minceur/?action=souscat&id_cat=5","BEAUTÉ","https://www.gssante.com/category/nos-produits/forte-pharma/beaute/?action=souscat&id_cat=5","BEAUTE
                                Expert Hyaluronic
                                                                Soin anti-âge globale
                                                            
                                                        Voir plus","https://www.gssante.com/expert-hyaluronic/?action=souscat&id_cat=5&id_cat1=35","Expert Hyaluronic","https://www.gssante.com/MtdGssante/uploads/2020/06/beaut.jpg","Nos Produits","MINCEUR","Soin anti-âge globale","Forte Pharma EXPERT HYALURONIC INTENSE 30 gélules 

 
EXPERT HYALURONIC RÉACTIVE LA JEUNESSE DE VOTRE PEAU ET RÉVÈLE TOUT SON ÉCLAT.
Expert Hyaluronic de Forté Pharma : une formule originale qui associe de l’acide hyaluronique, du collagène marin et de la vitamine C pour un résultat optimal.
FORTE PHARMA EXPERT HYALURONIC INTENSE est la solution qu’il vous faut pour vous aider à repulper votre peau et révéler tout son éclat.
Composition :



La formule d’Expert Hyaluronic présente 3 ingrédients principaux pour aider à repulper votre peau :

l’Acide hyaluronique hautement dosée  pour repulper la peau de l’intérieur et améliorer son élasticité.
le Collagène marin pour renforcer l’action anti-âge et améliorer la fermeté de la peau
la Vitamine C pour un effet revitalisant.  La vitamine C contribue à la formation normale de collagène pour assurer la fonction normale de la peau et contribue à protéger les cellules contre le stress oxydatif

Conseils d’utilisation:

Prendre 1 gélule le matin avec un verre d’eau. Prendre idéalement Expert Hyaluronic pendant 3 mois.
Pour un résultat optimal sur votre peau, Expert Hyaluronic peut être associé à Expert Collagène."
"1758850596-4","https://www.gssante.com/category/nos-produits/forte-pharma/minceur/?action=souscat&id_cat=5","BEAUTÉ","https://www.gssante.com/category/nos-produits/forte-pharma/beaute/?action=souscat&id_cat=5","BEAUTE
                                Expert Collagène
                                                                Action anti-âge absolue
                                                            
                                                        Voir plus","https://www.gssante.com/expert-collagene/?action=souscat&id_cat=5&id_cat1=35","Expert Collagène","https://www.gssante.com/MtdGssante/uploads/2020/06/hylorinique.jpg","Nos Produits","MINCEUR","Action anti-âge absolue","Forté Pharma EXPERT COLLAGENE 14​ Sticks
​EXPERT COLLAGENE CORRIGE LES RIDES, RAFFERMIT ET PROTÈGE LA PEAU EN UN SEUL GESTE.

Chaque matin, verser le contenu d’un stick dans un verre puis ajouter de l’eau et mélanger. 
FORTE PHARMA EXPERT COLLAGENE pour aider à corriger les rides grâce à une formule hautement dosée en peptides de collagène, aux vitamines A et C, qui contribuent au maintien d’une peau normale et à la formation normale de collagène.
Conseils d’utilisation :

1 à 2 sticks de FORTE PHARMA EXPERT COLLAGENE par jour, à diluer dans un grand verre d’eau (200 ml) et à mélanger jusqu’à dissolution complète de la poudre.
A prendre de préférence le matin et le soir.

Composition :



Expert Collagène protège aussi votre peau du vieillissement cutané grâce à un complexe anti-oxydant puissant composé des vitamines A, C, E, du Sélénium et de Grenade.

La vitamine A contribue au maintien d’une peau normale.

Les vitamines C et E et le sélénium contribuent à protéger les cellules contre le stress oxydatif.

Étude scientifique Copalis Collactive versus placebo réalisée sur 44 sujets pendant 3 mois (2007)."
"1758850599-5","https://www.gssante.com/category/nos-produits/forte-pharma/minceur/?action=souscat&id_cat=5","BEAUTÉ","https://www.gssante.com/category/nos-produits/forte-pharma/beaute/?action=souscat&id_cat=5","BEAUTE
                                Expert Cheveux
                                                                Force-Vitalité-Volume
                                                            
                                                        Voir plus","https://www.gssante.com/expert-cheveux/?action=souscat&id_cat=5&id_cat1=35","Expert Cheveux","https://www.gssante.com/MtdGssante/uploads/2020/06/66-1.jpg","Nos Produits","MINCEUR","Force-Vitalité-Volume","FORTE PHARMA EXPERT CHEVEUX PROGRAMME DE 3 MOIS



Ce Programme complet de 3 mois contient 84 comprimés 
 Expert Cheveux est un complément alimentaire qui agit pour maintenir des cheveux éclatant de beauté

Renforce la fibre capillaire  grâce aux protéines de blé et du zinc qui contribue à la production des protéines .
La vitamine B6 participe à la production de cystéine, acide aminé indispensable pour structurer le cheveu.
Protége vos cheveux par l’apport d’anti-oxydants puissants.
Expert Cheveux contribue au maintien d’ongles normaux grâce au zinc et au sélénium

Le sélénium, les vitamines E et C sont des anti-oxydants indispensables pour protéger les cellules du stress oxydatif .

Pour compléter ces actions, Expert Cheveux contient aussi de la levure de bière et des vitamines du groupe B, notamment la B8.

Renforcée et protégée, votre chevelure révèle toute sa force, sa vitalité et son volume.
FORTE PHARMA EXPERT CHEVEUX une solution à base de plantes, d’acides aminés, de vitamines et de minéraux qui agit sur tous les types de chutes !
Composition:
levure de bière en poudre (300mg),colorants (dioxyde de titane, jaune de quinoléine, indigotine),gomme arabique], antiagglomérants  polydex-trose, talc, cellulose microcris-talline, triglycérides à chaîne moyenne,, hydrolysas de protéines de blé – gluten (Triticum aestivum L.) (200mg), gluconate de fer, extrait sec de bardane (Arctium Jappa L) (100mg),carbonate de zinc, vitamine B3 (nicotinamide), sulfate de manganèse, vitamines B5 (D-pantothénate de calcium), B6 (chlorhydrate de pyridoxine), Bi (mononitrate de thiamine),  agent de charge (cellulose microcristalline) B12 (cyanocobalamine), B8 (D-biotine), sélénite de sodium. vitamine C (acide L-ascorbique), ActiSOD° : extrait sec de pastèque (Citrullus lanatus (Thunb.) Matsum. & Nakai) (50mg), agents d’enrobage [hydroxypropylméthylcellulose,  (carboxyméthyl-cellulose de sodium réticulée, dioxyde de silicium, sels de magnésium d’acides gras), vitamine E (acétate de DL-alpha tocophérol)
Conseils d’utilisation

il est recommandé de prendre 1 comprimé par jour avec un verre d’eau au moment des repas. Programme de 1 mois renouvelable.
NB:Il est déconseillé de prendre Expert Cheveux de Forté Pharma si l’on est enceinte ou allaitante sans demander l’avis de son médecin ou pharmacien. Il est également déconseillé aux enfants de moins de 12 ans sans avis médical."
"1758850607-6","https://www.gssante.com/category/nos-produits/forte-pharma/minceur/?action=souscat&id_cat=5","ENERGIE","https://www.gssante.com/category/nos-produits/forte-pharma/vitalite/?action=souscat&id_cat=5","VITALITÉ
                                Ultra boost 4g (effervescent)
                                                                Pour une puissance illimitée 20 EFFERVESCENT
                                                            
                                                        Voir plus","https://www.gssante.com/ultra-boost-4g-effervescent/?action=souscat&id_cat=5&id_cat1=34","Ultra boost 4g (effervescent)","https://www.gssante.com/MtdGssante/uploads/2020/06/11-1.jpg","Nos Produits","MINCEUR","Pour une puissance illimitée 20 EFFERVESCENT","FORTE PHARMA ULTRA BOOST 4G (EFFERVESCENT)
Ultra Boost 4G est un stimulant physique et mental à action rapide pour rester performant tout au long de la journée.

Existe aussi en format comprimés à avaler.
La formule de Ultra Boost 4G associe l’efficacité du complexe 4G (Ginseng, Guarana, Gelée royale, Gingembre) à la caféine d’origine naturelle (80mg), dans un format effervescent pour un effet boost immédiat
Composition:

 
Le Ginseng
Également appelé « racine de vie », le Ginseng est sans doute la plante la plus célèbre de la médecine traditionnelle chinoise. Grâce à sa richesse en ginsénosides et ses propriétés anti-fatigue incontournables, le Ginseng permet d’accroître naturellement la résistance physique de l’organisme.
La Gelée Royale
Fabriquée par les abeilles à partir du pollen, la gelée royale sert de nourriture exclusive à la Reine pendant toute son existence, lui offrant une longévité considérable. La gelée royale est un formidable concentré nutritif !
Le Gingembre
Depuis des millénaires, le gingembre est consommé aux quatre coins du monde pour soulager de nombreux maux.
Le Guarana
Plante originaire de la forêt amazonienne, le Guarana est connu depuis très longtemps par les indiens pour augmenter la résistance et stimuler la vitalité de l’organisme. Naturellement riche en caféine, le Guarana est un puissant stimulant du système nerveux
La Caféine
Puissant stimulant du système nerveux, la caféine maintient l’état de veille, stimule les facultés d’attention et recule les limites de la fatigue intellectuelle.
Conseils d’Utilisation:



Il est recommandé de Prendre un comprimé effervescent d’Ultra Boost 4G par jour, à diluer dans un grand verre d’eau (200 ml), de préférence le matin."
"1758850610-7","https://www.gssante.com/category/nos-produits/forte-pharma/minceur/?action=souscat&id_cat=5","ENERGIE","https://www.gssante.com/category/nos-produits/forte-pharma/vitalite/?action=souscat&id_cat=5","VITALITÉ
                                Ultra boost 4G
                                                                Pour une puissance illimitée 30 COMPRIMÉS
                                                            
                                                        Voir plus","https://www.gssante.com/ultra-boost-4g-comprimes/?action=souscat&id_cat=5&id_cat1=34","Ultra boost 4G","https://www.gssante.com/MtdGssante/uploads/2020/06/2-2.jpg","Nos Produits","MINCEUR","Pour une puissance illimitée 30 COMPRIMÉS","FORTE PHARMA  ULTRA BOOST 4G 30 COMPRIMÉS
Forte pharma Ultra Boost 4G comprimés est un stimulant physique et mental à action rapide pour rester performant tout au long de la journée
Le secret d’Ultra Boost 4G comprimés ? Son complexe 4G hautement dosé en en Ginseng et Guarana. Existe aussi en format comprimés effervescent.
Composition:



Le Ginseng
Également appelé « racine de vie », le Ginseng est sans doute la plante la plus célèbre de la médecine traditionnelle chinoise. Grâce à sa richesse en ginsénosides et ses propriétés anti-fatigue incontournables, le Ginseng permet d’accroître naturellement la résistance physique de l’organisme. Avec 1000mg d’équivalent plante par comprimé, le Ginseng vous aide à vous sentir plus énergique pour surmonter les coups de fatigue du quotidien(1) !
La Gelée Royale
Fabriquée par les abeilles à partir du pollen, la gelée royale sert de nourriture exclusive à la Reine pendant toute son existence, lui offrant une longévité considérable. La gelée royale est un formidable concentré nutritif !
Le Gingembre
Depuis des millénaires, le gingembre est consommé aux quatre coins du monde pour soulager de nombreux maux. Il contribue au bien-être de l’organisme.
Le Guarana
Plante originaire de la forêt amazonienne, le Guarana est connu depuis très longtemps par les indiens pour augmenter la résistance et stimuler la vitalité de l’organisme. Naturellement riche en caféine, le Guarana est un puissant stimulant du système nerveux et aide à réduire la fatigue mentale(2). Dosé à 700mg, il apporte 50mg de caféine par comprimé.
(1) Le ginseng vous aide à vous sentir plus énergique.

(2) Le guarana aide à réduire la fatigue mentale et contribue à la vigilance.

(3) La vitamine B5 contribue à réduire la fatigue mentale et contribue à la vigilance.
Conseils d’Utilisation:



Il est recommandé de Prendre un comprimé d’Ultra Boost 4G par jour le matin au petit déjeuner avec un verre d’eau ou de jus de fruits (200 ml)."
"1758850613-8","https://www.gssante.com/category/nos-produits/forte-pharma/minceur/?action=souscat&id_cat=5","ENERGIE","https://www.gssante.com/category/nos-produits/forte-pharma/vitalite/?action=souscat&id_cat=5","VITALITÉ
                                Vitalité 4g shots
                                                                Le booster immédiat à emporter partout
                                                            
                                                        Voir plus","https://www.gssante.com/vitalite-4g-shots/?action=souscat&id_cat=5&id_cat1=34","Vitalité 4g shots","https://www.gssante.com/MtdGssante/uploads/2020/06/44.jpg","Nos Produits","MINCEUR","Le booster immédiat à emporter partout","FORTE PHARMA VITALITÉ 4G SHOTS
L’énergie immédiate et d’origine naturelle de Forté Pharma Vitalité 4G en format SHOT, pratique et nomade. Aide à combattre efficacement la fatigue mentale et contribue à la vigilance.
Composition:
Formule concentrée à base d’actifs naturels, sans colorant, sans conservateur ni édulcorant.
Ginseng : Originaire d’Asie, cette racine titrée en ginsénosides est réputée pour ses nombreuses qualités. Selon son appellation latine, le Ginseng « Panax » signifie remède universel (Pan, qui signifie « tout », et Akos qui veut dire «remède»).

Guarana : Utilisé depuis des milliers d’années par le peuple Guarani en Amazonie pour la préparation de boissons toniques, le guarana représente un apport de caféine pour votre organisme, contribuant ainsi à réduire votre fatigue.

Gelée Royale : Fruit du travail des abeilles, cet élixir naturel est un véritable concentré nutritif.

Gingembre : Pour booster votre forme, la formule contient du gingembre, plante aux propriétés anti-oxydantes, qui contribue au bon fonctionnement du système immunitaire.

Le guarana aide à réduire la fatigue et contribue à la vigilance.
Conseils d’Utilisation:



Il est recommandé de Prendre 1 shot de Vitalité 4G dynamisant en cas de coup de fatigue, diretement dans la bouche. Programme 10 jours, à renouveler si nécessaire"
"1758850616-9","https://www.gssante.com/category/nos-produits/forte-pharma/minceur/?action=souscat&id_cat=5","ENERGIE","https://www.gssante.com/category/nos-produits/forte-pharma/vitalite/?action=souscat&id_cat=5","VITALITÉ
                                Tigra+ Men
                                                                Une solution pour vous aider à stimuler le désir 28 comprimes 
                                                            
                                                        Voir plus","https://www.gssante.com/tigra-men/?action=souscat&id_cat=5&id_cat1=34","Tigra+ Men","https://www.gssante.com/MtdGssante/uploads/2020/06/55.jpg","Nos Produits","MINCEUR","Une solution pour vous aider à stimuler le désir 28 comprimes","FORTE PHARMA ENERGIE TIGRA+ MEN 28Cps



Energie Tigra Men a été spécialement développé pour vous aider à maintenir une bonne vitalité masculine.

​Un seul comprimé par jour de Tigra Men c’est la garantie d’un apport optimal en vitamines et minéraux essentiels qui contribue à rééquilibrer et recharger votre organisme. 

  
Composition :

 
La formule d’Energie Power 50+ vous apporte :

75 mg de Ginseng

12 vitamines : A, B1, B2, B3, B5, B6, B8, B9, B12, C, D3, E.

9 minéraux : calcium, magnésium, fer, zinc, manganèse, sélénium, molybdène, chrome et cuivre.

Les vitamines A, B6, B9, B12, C et D contribuent au fonctionnement normal du système immunitaire. La vitamine B5 contribue à des performances intellectuelles normales.

Les vitamines C, B3, B5, B6, B9 et B12 contribuent à réduire la fatigue.
Conseils d’utilisations :



Il est indiqué de Prendre 1 comprimé de Tigra Men par jour avec un verre d’eau le matin.

Programme de 28 jours, à renouveler si nécessaire."
"1758850619-10","https://www.gssante.com/category/nos-produits/forte-pharma/minceur/?action=souscat&id_cat=5","ENERGIE","https://www.gssante.com/category/nos-produits/forte-pharma/vitalite/?action=souscat&id_cat=5","VITALITÉ
                                Acerola Vitamine C
                                                                 Vitamine C 60 Comprimes a croquer
                                                            
                                                        Voir plus","https://www.gssante.com/acerola/?action=souscat&id_cat=5&id_cat1=34","Acerola Vitamine C","https://www.gssante.com/MtdGssante/uploads/2020/06/77.jpg","Nos Produits","MINCEUR","Vitamine C 60 Comprimes a croquer","FORTE PHARMA ACEROLA Vitamine C 60 Comprimes a croquer
Forte Pharma ACEROLA Vitamine C est un complément alimentaire de vitamine C d’origine naturelle provenant d’un fruit, l’ACÉROLA, connu par sa richesse en vitamine C.  D’une part l’acérola présente une source 100 % naturelle de vitamice C et d’autre part il contient  des métabolites qui améliorent son assimilation et donc l’absorption optimale de la vitamine
FORTE PHARMA ACEROLA Vitamine C est un puissant antioxydant qui lutte contre le vieillissement cellulaire et limite le vieillissement cutané. Elle permet notement de renforcer les défenses immunitaires et potège ainsi des des virus ambiants. En plus elle améliore le métabolisme énergétique et aide à résister au stress et à la fatigue.
 
Composition : ​
Ingrédients:Extrait sec d’Acérola Titré à 25% en Vitamine C Naturelle (Malpighia Punicifolia) (480),Edulcorants (sorbitol, aspartame),;Anti-Agglomérants (Stéarate de Magnésium, Silice Colloïdale), Colorant Alimentaire (Extrait de Jus de Betterave, Maltodextrine), Arôme Naturel Fruits Rouges.
Conseil d’utilisation :

Il est conseillé de croquer un seul comprimé de FORTE PHARMA ACEROLA Vitamine C chaque jour 
Ne pas dépasser la quantité conseillée
L’utilisation de ACÉROLA Vitamine C est non recommandé aux femmes enceintes et qui allaitent et aux enfants de moins de 8 ans sans avis médical."
