web-scraper-order,web-scraper-start-url,data-page-selector,data-page-selector-href,Article-headline-0,image-0-src,Product Category-0,Product Type-0,Product Size-0,Product Description-0
"1758851534-1","https://www.gssante.com/category/nos-produits/miradent/?action=cat","Brosses à dents à ALPHA-LON 
                                Brosse à dents Carebrush white
                                                                Carebrush white Medium
                                                            
                                                        Voir plus","https://www.gssante.com/brosse-a-dents-carebrush-white/?action=cat&id_cat=7","Brosse à dents Carebrush white","https://www.gssante.com/MtdGssante/uploads/2024/02/brose-alpha.jpg","Miradent","Brosses à dents à ALPHA-LON","Carebrush white Medium","MIRADENT CAREBRUSH WHITE brosse à dents
MIRADENT CAREBRUSH WHITE combine les avantages d’une brosse à dents classique avec la technologie de nettoyage professionnel des dents .

Les poils croisés traditionnels nettoient les dents et les espaces interdentaires.
La tête de brosse angulée permet un meilleur accès au molaires situées plus en arrière.
Les lamelles en caoutchouc ont un effet similaire à celui des calices de polissage pendant le nettoyage professionnel des dents au cabinet. Elles nettoient doucement la surface des dents et éliminent minutieusement les décolorations des dents. On restaure ainsi le blanc naturel des dents.
La poignée ergonomique avec crampons en caoutchouc permet un effet antidérapant.
Lamelles de caoutchouc pour un nettoyage profond
Tête de brosse courbée
Manche anti-glisse ergonomique"
"1758851537-2","https://www.gssante.com/category/nos-produits/miradent/?action=cat","Brosses à dents à ALPHA-LON 
                                Brosse à dents Carebrush
                                                                Carebrush Supersoft
                                                            
                                                        Voir plus","https://www.gssante.com/brosse-a-dents-carebrush/?action=cat&id_cat=7","Brosse à dents Carebrush","https://www.gssante.com/MtdGssante/uploads/2024/02/supersoft.jpg","Miradent","Brosses à dents à ALPHA-LON","Carebrush Supersoft","MIRADENT CAREBRUSH SUPERSOFT brosse à dents
MIRADENT CAREBRUSH WHITE combine les avantages d’une brosse à dents classique avec la technologie de nettoyage professionnel des dents .

Groupe de poils en saillie pour le nettoyage des espaces inter dentaires
Effet anti-plaque
Brossage des dents hypersensibles et gencive irritée
Gratte langue"
"1758851540-3","https://www.gssante.com/category/nos-produits/miradent/?action=cat","Brosses à dents à ALPHA-LON 
                                Brosse à dents électrique
                                                                Prosonic Micro 2
                                                            
                                                        Voir plus","https://www.gssante.com/brosse-a-dents-electrique/?action=cat&id_cat=7","Brosse à dents électrique","https://www.gssante.com/MtdGssante/uploads/2024/02/electrique.jpg","Miradent","Brosses à dents à ALPHA-LON","Prosonic Micro 2","MIRADENT PROSONIC brosse à dents électrique 
MIRADENT PROSONIC brosse à dents électrique rechargeable elimine les tâches et la plaque dentaire

La tête de brosse à tige fine et triangulaires avec poils de brosse profilés aux extrémités polies et arrondies
Gratte-langue à l’arrière de la tête de brosse
30 000 vibrations /mn.
Prend en charge la blancheur naturelle des dents.
Réduit les bactéries et la mauvaise haleine"
"1758851543-4","https://www.gssante.com/category/nos-produits/miradent/?action=cat","Brosses à dents à ALPHA-LON 
                                Kid’s Brush
                                                                Hygiène dentaire pour enfants
                                                            
                                                        Voir plus","https://www.gssante.com/kids-brush/?action=cat&id_cat=7","Kid’s Brush","https://www.gssante.com/MtdGssante/uploads/2024/02/kids.jpg","Miradent","Brosses à dents à ALPHA-LON","Hygiène dentaire pour enfants","Miradent Brosse à dents pour enfants 2 à 6 ans sont Des brosses à dents amusantes motivent ! Le  » corps supérieur » de la brosse Kid’s Brush constitue un capuchon de protection muni d’ouvertures assurant une circulation d’air adéquate, tandis que le manche de la brosse à dents sert de support au personnage. La brosse Kid’s Brush miradent est disponible en cinq modèles amusantes.
Canard Chien Taureau Ours Perroque"
"1758851546-5","https://www.gssante.com/category/nos-produits/miradent/?action=cat","Esthétique Dentaire et Blancheur 
                                Mirawhite Shine
                                                                Esthétique Blancheur 
                                                            
                                                        Voir plus","https://www.gssante.com/mirawhite-shine/?action=cat&id_cat=7","Mirawhite Shine","https://www.gssante.com/MtdGssante/uploads/2024/02/blancheur.jpg","Miradent","Esthétique Dentaire et Blancheur","Esthétique Blancheur","MIRADENT Mirawhite Oxygen
MIRADENT Mirawhite Oxygen est un gel blanchissant efficace, qui peut éclaircir les dents jusqu’à trois teintes en seulement 7 à 14 jours. Les causes de la décoloration peuvent inclure :

Vieillissement naturel de l’émail
Minéralisation irrégulière
Fissures d’émail
Dommages mécaniques
Les influences extérieures

Grâce à l’applicateur précis avec le brosse hygiénique du mirawhite stylo, la décoloration partielle des endroits difficiles d’accès tels que le col des dents ou entre les canines est également à portée de main. 
Le gel de blanchiment dentaire Mirawhite Oxygen est soluble à la salive et à l’eau,non abrasif et a un ph neutre.Il n’est pas nocif pour les dents et la gencive et évite les sensibilités généralement causées par un traitement au peroxyde.
Composition : 
Glycerine,h2o,silice,perborate de sodium,gluconate de sodium,citrate de sodium,acide citrique,xanthan gum,silicate de magnesium,peg32,sodium ckoride,cellulose gum,arome
Conseils d’utilisation : 

Appliquer le soir après le brossage de dents avant de se coucher
Tourner la roulette de dosage 1 à 2 fois suffit pour 2 à 3 dents. (La toute première fois tourner jusqu’à ce que l’air soit sorti du crayon)
Laisser agir le gel pendant 8 à 10 minutes (ne pas manger, boire ou fumer pendant cette période) – la bouche peut être fermée.
Puis rincer avec de l’eau



Il n’est pas recommandé de manger ou de fumer jusqu’au lendemain.
Répétez cette application pendant 7 jours consécutifs de préférence à la même heure."
"1758851549-6","https://www.gssante.com/category/nos-produits/miradent/?action=cat","Esthétique Dentaire et Blancheur 
                                Mirawhite Gelée
                                                                Esthétique Dentaire 
                                                            
                                                        Voir plus","https://www.gssante.com/mirawhite-gelee/?action=cat&id_cat=7","Mirawhite Gelée","https://www.gssante.com/MtdGssante/uploads/2024/02/mirawhite-gelée.jpg","Miradent","Esthétique Dentaire et Blancheur","Esthétique Dentaire","MIRADENT Mirawhite Gelee 100ML
MIRADENT Mirawhite Gelee est un dentifrice en  gelée blanchissante et lissante pour les dents.S’utilise une à deux fois par jour.
Mirawhite Gelée, une méthode douce pour vos dents. Le dentifrice s’occupe d’un nettoyage intensif et veille à un sourire rayonnant. Mirawhite Gelée rend les dents plus belles, plus lisses et plus blanches

Dioxyde de silicium : nettoyage approfondi et doux
Mica : effet brillance de la surface dentaire
Formule ultra douce

Composition : 
Composants actifs : aqua, sorbitol, hydrated silicia, propylene glycol, xylitol, pentasodium triphoasphate, disodium pyrophosphate, tetrapotassium pyrophosphate, sodium C14-16 olefin, sulfonate, aroma, xanthan gum, sodium fluoride, sodium saccharin, mica, CI 42090, CI 77891
Conseils d’utilisation : 
Appliquer Mirawhite Gelee une à deux fois par jour à la place de votre dentifrice habituel ,brosser vous les dents une à deux minutes,ensuite ne pas rincer,seulement recracher."
"1758851553-7","https://www.gssante.com/category/nos-produits/miradent/?action=cat","BAINS DE BOUCHE
                                Paroguard Bain de Bouche
                                                                Paroguard chx 200ml
                                                            
                                                        Voir plus","https://www.gssante.com/paroguard-bain-de-bouche/?action=cat&id_cat=7","Paroguard Bain de Bouche","https://www.gssante.com/MtdGssante/uploads/2024/02/bain-de-bouche.jpg","Miradent","BAINS DE BOUCHE","Paroguard chx 200ml","MIRADENT Paroguard Bain de Bouche 200ML
MIRADENT Paroguard Bain de Bouche possède les proprietes suivantes : 

A utiliser avant les traitements prophylactiques
Reminéralisant grâce au fluorure (250 ppm)
Astringent dû à l’hamamélis
Anti-cariogène grâce au xylitol
Sans alcool

MIRADENT Paroguard est utilisé pour les soins de longue durée et le nettoyage avec une capacité d’hygiène buccale. La solution pour bain de bouche est sans alcool, prend soin des gencives en douceur et prévient les irritations des gencives, de la bouche et de la gorge.
Les ingrédients essentiels de MIRADENT Paroguard ont les fonctions suivantes :

Le fluor reminéralise, augmente la résistance à la carie dentaire et développe un effet synergique avec la chlorhexidine.
Le xylitol est acariogène, prévient la carie dentaire et a un pH neutre.
L’hamamélis protège des irritations des gencives (effet légèrement astringent).

La combinaison d’ingrédients conduit à une réduction significative des composés méthyliques contenant du soufre (revêtement de la langue) sur le dos de la langue. De cette façon, une réduction durable de la mauvaise haleine peut être obtenue.
Le bouchon doseur vous permet d’appliquer la quantité optimale de solution de rinçage buccal
Composition : 
Aqua, Xylitol, Glycerin, PEG-40 Hydrogenated Castor Oil, Panthenol, Aroma, Chamomilla Recutita Flower Water, Hamamelis Virginiana Leaf Water, Chlo­ rhexidine Digluconate, Sodium Citrate, Allantoin, Sodium Fluoride, Citric Acid, Lactic Acid, Sodium Chloride, Sodium Sulfate, Sodium Benzoate, Potassium Sorbate, Limonene, CI 42090"
"1758851556-8","https://www.gssante.com/category/nos-produits/miradent/?action=cat","BAINS DE BOUCHE
                                Mirafluor Bain de Bouche
                                                                Mirafluor Chx  100ML
                                                            
                                                        Voir plus","https://www.gssante.com/mirafluor-bain-de-bouche/?action=cat&id_cat=7","Mirafluor Bain de Bouche","https://www.gssante.com/MtdGssante/uploads/2024/02/bain-de-bouchee-100ml.jpg","Miradent","BAINS DE BOUCHE","Mirafluor Chx  100ML","MIRADENT Mirafluor Chx Bain de Bouche 100ML
MIRADENT Mirafluor Chx Bain de Bouche est une solution contenant du CHX (0.06 % de digluconate de chlorhexidine) pour le nettoyage, le soin et la protection de la cavité buccale. Cet ingrédient, éprouvé en dentisterie, a été complété par une légère fluoration (250 ppm de fluor) et le substitut de sucre xylitol.
De par sa consistance et sa composition sans alcool , miradent mirafluor est particulièrement indiqué pour prévenir toutes les conséquences d’une mauvaise hygiène bucco-dentaire comme la mauvaise haleine ou la plaque.
Composition : 

Fluor (250 ppm) : reminéralisant
Hamamélis : astringent
Xylitol : anticariogène


Digluconate de chlorhexidine : prévient la formation de plaque

Conseils d’utilisation : 

Pour un effet prophylactique durable, il est recommandé de rincer avec 10 ml de solution 1 à 2 fois par jour pendant env. 30 secondes.
Il faut de préférence rincer après le brossage.
Le bain de bouche non dilué ne doit pas être avalé"
"1758851559-9","https://www.gssante.com/category/nos-produits/miradent/?action=cat","SOINS SÉCIFIQUES POUR LES DENTS
                                Mirasensitive Hap+
                                                                Mirasensitive hap+ 50ML
                                                            
                                                        Voir plus","https://www.gssante.com/mirasensitive-hap/?action=cat&id_cat=7","Mirasensitive Hap+","https://www.gssante.com/MtdGssante/uploads/2024/02/mirasensitive.jpg","Miradent","SOINS SÉCIFIQUES POUR LES DENTS","Mirasensitive hap+ 50ML","MIRADENT Mirasensitive hap+ 50ML
MIRADENT Mirasensitive hap+ favorise la fermeture des tubules dentinaires ouverts et la formation d’émail dentaire naturel (avec 30 % d’hydroxyapatite) d’une part, et en même temps favorise l’apaisement des nerfs dentaires (5 % d’ions potassium) de l’autre. Cela arrête la transmission des stimuli aux nerfs de la dent.
Mirasensitive hap+ permet d’obtenir à la fois une réduction de la douleur à court terme en calmant les nerfs dentaires et une désensibilisation à long terme en fermant les tubules dentinaires. La teneur en fluorure (1 450 ppm) de mirasensitive hap+ est idéale pour les soins quotidiens. L’ingrédient xylitol est connu pour son effet anti-plaque et a un effet anti-caries et reminéralisant.
La faible valeur RDA (30) favorise les soins dentaires en douceur et minimise ainsi l’abrasion de l’émail dentaire pendant l’utilisation.
Composition :
Aqua, Hydroxyapatite, Xylitol, Sorbitol, Propylene Glycol, Potassium Citrate, Tetrapotassium Pyrophosphate, Sodium C14-16 Olefin Sulfonate, Disodium Pyrophosphate, Cellulose Gum, Aroma, Sodium Fluoride, Cocamidopropyl Betaine, Sodium Saccharin, Limonene, CI 77891
Conseils d’utilisation :
L’usage de MIRADENT Mirasensitive hap est uniquement pour adultes."
"1758851562-10","https://www.gssante.com/category/nos-produits/miradent/?action=cat","SOINS SÉCIFIQUES POUR LES DENTS
                                Mirafluor C
                                                                Mirafluor C 100ML
                                                            
                                                        Voir plus","https://www.gssante.com/mirafluor-c/?action=cat&id_cat=7","Mirafluor C","https://www.gssante.com/MtdGssante/uploads/2024/02/MIRAFLUOR.jpg","Miradent","SOINS SÉCIFIQUES POUR LES DENTS","Mirafluor C 100ML","MIRADENT Mirafluor C 100ML
MIRADENT Mirafluor C est un Dentifrice riche en fluorure d’amine de haute qualité pour prévenir la carie dentaire. L’utilisation du dentifrice MIRADENT Mirafluor C conduit à une concentration élevée de fluorure dans la salive, ce qui prévient les caries.
Grâce à leur activité de surface, les fluorures d’amines se répandent rapidement dans la cavité buccale, recouvrant uniformément les surfaces des dents d’une couche moléculaire homogène et amenant le fluor là où il est nécessaire. La consistance du film l’empêche d’être emporté rapidement par la salive.

Réduit la plaque dentaire.
Prévient les caries.
Nettoie les gencives.

Composition : 
Aqua,Sorbitol,Hydrated silica,Propylene glycol,Olaflur,Cocamidopropyl betaine,Aroma,Hydroxyethylcellulose,Sodium saccharin,Sodium chloride,Limonene,Titanium dioxide,Aminfluorid
Conseils d’utilisation : 

Dentifrice pour adultes.
A utiliser 2 fois par jour.
Se brosser les dents pendant 1 minute."
