web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,data-page-selector,data-page-selector-href,Article-headline-0,image-0-src,Product Category-0,Product Brand-0,Product Size-0,Product Description-0
"1758849919-1","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME W - Anti-Taches","https://www.gssante.com/category/nos-produits/pharmaceris/w-whitening-eclaircissement-de-decolorations/?action=souscat&id_cat=3","PHARMACERIS W 
                                Mousse Nettoyante
                                                                PURI-ALBUCIN I 150ml
                                                            
                                                        Voir plus","https://www.gssante.com/puri-albucin-i-mousse-nettoyante/?action=souscat&id_cat=3&id_cat1=18","Mousse Nettoyante","https://www.gssante.com/MtdGssante/uploads/2021/04/mousse-w.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS W","PURI-ALBUCIN I 150ml","93% élimine efficacement le maquillage et les impuretés .

 

61% éclaircit la peau .

 

TOLÉRANCE ET EFFICACITÉ ÉLEVÉES .

 

TESTÉ SOUS CONTRÔLE DERMATOLOGIQUE .

LES INDICATIONS :


Une mousse douce est recommandée pour le nettoyage quotidien du visage et du contour des yeux.
Remplace le savon traditionnel.

ACTION :


Nettoie efficacement la peau en éliminant les impuretés et les résidus de maquillage. Un complexe d’actifs (vitamine PP, acérola) illumine la peau et unifie le teint.
Le D-panthénol et l’allantoïne aident à apaiser les irritations.
La mousse douce hydrate intensément la peau et maintient son hydro-équilibre, rend la peau moins sujette aux réactions d’hypersensibilité.
C’est sans savon.


HAUTE TOLÉRANCE ET EFFICACITÉ.
TESTÉ DERMATOLOGIQUEMENT."
"1758849922-2","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME W - Anti-Taches","https://www.gssante.com/category/nos-produits/pharmaceris/w-whitening-eclaircissement-de-decolorations/?action=souscat&id_cat=3","PHARMACERIS W 
                                Créme de Nuit
                                                                ALBUCIN-INTENSIVE 30ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-de-nuit/?action=souscat&id_cat=3&id_cat1=18","Créme de Nuit","https://www.gssante.com/MtdGssante/uploads/2021/04/nuit-W.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS W","ALBUCIN-INTENSIVE 30ml","88% éclaircit les décolorations
62% prévient les nouvelles décolorations cutanées
haute tolérance et efficacité
testé dermato logiquement

LES INDICATIONS :


Recommandé pour le soin quotidien des peaux à hyperpigmentation de ton inégal, ou des peaux à risque de décolorations dues à l’exposition au soleil, à la contraception orale, à la grossesse, aux chirurgies esthétiques, aux traitements dermatologiques ou à l’inflammation.

ACTION :


L’action éclaircissante hautement efficace est l’effet combiné de 4% de niacinamide, de papaïne et de vitamine C.
La niacinamide bloque le transport de la mélanine vers l’épiderme, empêchant efficacement la formation d’une nouvelle hyperpigmentation et les décolorations existantes de se propager ou de s’intensifier.
La papaïne accélère la dépigmentation en exfoliant les couches externes de l’épiderme hyperpigmenté.
Cela permet également à la vitamine C de pénétrer plus profondément dans la peau, renforçant ainsi l’effet éclaircissant et revitalisant.
L’allantoïne hydrate et nourrit la peau, soulageant les irritations.
La crème procure un effet éclaircissant progressif sans provoquer de dépigmentation de la peau saine."
"1758849925-3","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME W - Anti-Taches","https://www.gssante.com/category/nos-produits/pharmaceris/w-whitening-eclaircissement-de-decolorations/?action=souscat&id_cat=3","PHARMACERIS W 
                                Crème de Jour SPF 50+
                                                                ALBUCIN-TRIPLE ACTION 30ml
                                                            
                                                        Voir plus","https://www.gssante.com/612-2/?action=souscat&id_cat=3&id_cat1=18","Crème de Jour SPF 50+","https://www.gssante.com/MtdGssante/uploads/2021/04/ECRAN-W.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS W","ALBUCIN-TRIPLE ACTION 30ml","83% unifie le teint
83% procure un effet éclaircissant naturel
79% éclaircit les décolorations
haute tolérance et efficacité
testé dermatologiquement

LES INDICATIONS :

Recommandé pour le soin quotidien des peaux présentant une hyperpigmentation, un teint inégal ou une peau à risque de décoloration due à l’exposition au soleil, aux changements hormonaux, à la contraception orale, à la grossesse, aux traitements dermatologiques, aux chirurgies esthétiques ou à l’inflammation.

ACTION :

La crème unique et hautement concentrée contient 4% de Niacinamide, une substance aux propriétés éclaircissantes comparables à celles de l’hydroquinone *, ingrédient actif des traitements médicaux éclaircissants.
La niacinamide est une substance hautement sûre qui bloque efficacement la synthèse de la mélanine et sa migration vers l’épiderme, aidant à prévenir de nouvelles décolorations épidermiques.
L’effet éclaircissant est renforcé par la vitamine C et le complexe Biomimétique-Peptide.
Ils agissent à l’unisson pour réduire l’hiperpigmentation existante, éclaircir le teint et uniformiser le teint. La vitamine E agit comme un antioxydant physiologique qui retarde le vieillissement cutané.
Le filtre SPF 50+ offre une photoprotection efficace.
La crème ne provoque pas de dépigmentation de la peau saine."
"1758849928-4","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME W - Anti-Taches","https://www.gssante.com/category/nos-produits/pharmaceris/w-whitening-eclaircissement-de-decolorations/?action=souscat&id_cat=3","PHARMACERIS W 
                                Contour des Yeux
                                                                OPTI-ALBUCIN 15ml
                                                            
                                                        Voir plus","https://www.gssante.com/contour-des-yeux/?action=souscat&id_cat=3&id_cat1=18","Contour des Yeux","https://www.gssante.com/MtdGssante/uploads/2021/04/opti-albucin-1.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS W","OPTI-ALBUCIN 15ml","76% éclaircit le contour des yeux

 

64% réduit les poches

 

TOLÉRANCE ET EFFICACITÉ ÉLEVÉE

 

TESTÉ DERMATOLOGIQUEMENT

LES INDICATIONS :

Pour le soin quotidien des peaux délicates présentant des cernes visibles, des taches brunes et des poches autour des yeux, sujettes à l’apparition de rides.

ACTION :

Le complexe de protéines de soja et de riz améliore la circulation sanguine et réduit les poches autour des yeux et les cernes sous les yeux, prévenant ainsi le vieillissement cutané.
La crème a des effets calmants et apaisants.
La vitamine E, un agent anti-radicalaire naturel, prévient le vieillissement prématuré de la peau.


HAUTE TOLÉRANCE ET EFFICACITÉ
TESTÉ DERMATOLOGIQUEMENT"
"1758849931-5","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME W - Anti-Taches","https://www.gssante.com/category/nos-produits/pharmaceris/w-whitening-eclaircissement-de-decolorations/?action=souscat&id_cat=3","PHARMACERIS W 
                                Coup d’éclat Immédiat Hydratation
                                                                ALBUCIN -MELA 30ml
                                                            
                                                        Voir plus","https://www.gssante.com/coup-declat-immediat-hydratation/?action=souscat&id_cat=3&id_cat1=18","Coup d’éclat Immédiat Hydratation","https://www.gssante.com/MtdGssante/uploads/2021/04/albucin-mela.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS W","ALBUCIN -MELA 30ml","78% éclaircit

 

78% améliore la couleur de la peau

 

TOLÉRANCE ET EFFICACITÉ ÉLEVÉES

 

TESTÉ DERMATOLOGIQUEMENT

LES INDICATIONS :






Pour le soin quotidien des peaux présentant une hyperpigmentation ou un teint irrégulier.









ACTION :

Le sérum blanchissant prévient l’hyperpigmentation et combat les symptômes courants d’une couleur de peau inégale.
Cette formule innovante à double action réduit efficacement la décoloration cutanée existante et prévient sa réapparition.
Un peptide biomimétique réduit et illumine la décoloration de la peau. Inhibe les récepteurs dans les couches profondes de la peau qui amènent les cellules à initier la synthèse de la mélanine.
Une enzyme kératolitique réduit la décoloration de la surface de la peau en exfoliant doucement les couches externes de la peau sans endommager la structure de la peau.
Un complexe avancé d’azurants et d’hydratants optiques de nouvelle génération minimise en outre l’apparence des ridules à la surface de la peau pour un teint parfait et un effet lissant (96%) et hydratant instantané (91%).


HAUTE TOLÉRANCE ET EFFICACITÉ
TESTÉ DERMATOLOGIQUEMENT"
"1758849934-6","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME W - Anti-Taches","https://www.gssante.com/category/nos-produits/pharmaceris/w-whitening-eclaircissement-de-decolorations/?action=souscat&id_cat=3","PHARMACERIS W 
                                Réduit les Hyperpigmentations (Post Inflammatoires)
                                                                ALBUCIN-PP 3x4ml
                                                            
                                                        Voir plus","https://www.gssante.com/reduit-les-hyperpigmentations-post-inflammatoires/?action=souscat&id_cat=3&id_cat1=18","Réduit les Hyperpigmentations (Post Inflammatoires)","https://www.gssante.com/MtdGssante/uploads/2021/04/pp-w.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS W","ALBUCIN-PP 3x4ml","77% éclaircit la peau

 

73% réduit l’hyperpigmentation

 

HAUTE TOLÉRANCE ET EFFICACITÉ

 

TESTÉ DERMATOLOGIQUEMENT

LES INDICATIONS :

Pour le soin quotidien des peaux (visage, cou, décolletage, bras) présentant une hyperpigmentation, des marques brunes ou un teint irrégulier.
Recommandé pour les peaux sensibles et grasses.

ACTION :

Le niacynamide affecte la réduction de la sécrétion de mélanine, empêchant ainsi la formation de décoloration.
L’écorce de saule et la biotine régulent le processus d’exfoliation des cellules mortes de la peau, réduisant la visibilité des imperfections existantes, adoucissent les pores et perfectionnent la texture de la peau.


HAUTE TOLÉRANCE ET EFFICACITÉ
TESTÉ DERMATOLOGIQUEMENT"
"1758849938-7","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME W - Anti-Taches","https://www.gssante.com/category/nos-produits/pharmaceris/w-whitening-eclaircissement-de-decolorations/?action=souscat&id_cat=3","PHARMACERIS W 
                                Coup d’éclat ,Hydratation et Prévention des Rides
                                                                ALBUCIN-C 5%de vitamine C 30ml
                                                            
                                                        Voir plus","https://www.gssante.com/coup-declat-hydratation-et-prevention-des-rides/?action=souscat&id_cat=3&id_cat1=18","Coup d’éclat ,Hydratation et Prévention des Rides","https://www.gssante.com/MtdGssante/uploads/2021/04/vitamine-c.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS W","ALBUCIN-C 5%de vitamine C 30ml","90% lisse la peau

 

70% éclaircit la peau

 

TOLÉRANCE ET EFFICACITÉ ÉLEVÉES

 

TESTÉ DERMATOLOGIQUEMENT

LES INDICATIONS :

Pour le soin quotidien des peaux (visage, cou, décolettage, bras) présentant une hyperpigmentation, des marques brunes ou un teint irrégulier.
Recommandé pour les peaux sensibles, sèches et matures.

ACTION :

La vitamine C allège l’hyperpigmentation et uniformise le teint en inhibant la tyrosinase active qui est l’enzyme clé impliquée dans la mélanogenèse.
Stimule efficacement la régénération naturelle de la peau. Le concentré pénètre profondément dans la peau où il stimule la synthèse des protéines de collagène fibreuses et les protège.
Il réduit les rides en améliorant l’élasticité et le tiraillement de la peau.
Il protège les parois vasculaires des oxydants nocifs.
La vitamine E élimine les radicaux libres en excès, retardant ainsi le processus de vieillissement cutané.


HAUTE TOLÉRANCE ET EFFICACITÉ
TESTÉ DERMATOLOGIQUEMENT"
"1758849941-8","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME W - Anti-Taches","https://www.gssante.com/category/nos-produits/pharmaceris/w-whitening-eclaircissement-de-decolorations/?action=souscat&id_cat=3","PHARMACERIS W 
                                Eau Tonifiante
                                                                PURI-ALBUCIN II 150ml
                                                            
                                                        Voir plus","https://www.gssante.com/eau-tonifiante/?action=souscat&id_cat=3&id_cat1=18","Eau Tonifiante","https://www.gssante.com/MtdGssante/uploads/2021/04/eau-tonifiante.jpg","GAMME A - Peau Allergique et Sensible","PHARMACERIS W","PURI-ALBUCIN II 150ml","100% hydrate et nettoie

 

93% peau éclatante

 

TOLÉRANCE ET EFFICACITÉ ÉLEVÉES

 

TESTÉ SOUS CONTRÔLE DERMATOLOGIQUE

LES INDICATIONS :

Pour le nettoyage et les soins quotidiens de la peau du visage. Il convient aux peaux de tous âges.

ACTION :

Restaure le bon pH de la peau et élimine efficacement les impuretés et le maquillage.
La vitamine C issue de l’extrait d’acérola réduit l’intensité de la décoloration de la peau.
La peau est éclaircie et rafraîchie. Le toner apaise la peau et réduit l’hyperréactivité, assure une bonne hydratation, éliminant l’effet «peau tiraillée».


HAUTE TOLÉRANCE ET EFFICACITÉ
TESTÉ DERMATOLOGIQUEMENT"
"1758849947-9","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME V - Vitiligo","https://www.gssante.com/category/nos-produits/pharmaceris/v-vitiligo/?action=souscat&id_cat=3","PHARMACERIS V
                                Crème protectrice spf 50+
                                                                pour la peau avec le problème du vitiligo-pour le visage et le corps
 Viti-melo day 75 ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-protectrice-spf-50/?action=souscat&id_cat=3&id_cat1=17","Crème protectrice spf 50+","https://www.gssante.com/MtdGssante/uploads/2020/06/creme-protectrice.jpg","GAMME A - Peau Allergique et Sensible","","pour la peau avec le problème du vitiligo-pour le visage et le corps
 Viti-melo day 75 ml","-98% protège contre les coups de soleil

-93% empêche les taches de se propager

-Haute tolérance et efficacité

-Testé cliniquement et dermatologiquement
LES INDICATIONS

La crème est recommandée pour les adultes et les enfants (à partir de 5 ans) pour protéger et soigner la journée, pour les peaux à problèmes de vitiligo et de dépigmentation.

À utiliser pour minimiser le risque de coup de soleil et l’expansion des zones de décoloration.

Un meilleur effet de repigmentation est fourni par la thérapie en combinaison avec la lampe NB-UVB.
ACTION

Une préparation spécialisée basée sur la synergie unique de l’acide romarin et de la thioproline combat les symptômes visibles du vitiligo.

Le complexe affecte les cellules de la peau à l’échelle mondiale – il offre une protection anti-radicalaire (brevet n ° 402105), protégeant les mitochondries, dont les dysfonctionnements sont l’une des causes du développement du vitiligo, contre les dommages oxydatifs.

Il inhibe les réactions inflammatoires, réduisant le niveau d’IL-6, une molécule clé dans le processus de dépigmentation cutanée (demande de brevet n ° 407256). Il travaille à réparer, protéger et minimiser les dommages aux cellules pigmentaires.

La combinaison synergique de substances actives initie le processus de repigmentation et d’alignement progressif du teint.

La Naringine (demande de brevet 416041) fait taire les gènes responsables du vitiligo (Bmal1, Per1). Active le réseau mitochondrial, réduisant le risque d’intensification des symptômes de la dermatose. Le VDR stimule le récepteur de la vitamine D, crucial dans le traitement du vitiligo, rétablissant la barrière protectrice optimale. Les filtres photostables offrent une protection UV très élevée.

Le complexe empêche l’élargissement et l’approfondissement des différences de couleur de peau et la création de nouvelles lésions de vitiligo.

HAUTE TOLÉRANCE ET EFFICACITÉ

TESTÉ CLINIQUEMENT ET DERMATOLOGIQUEMENT

Capacité: 75 ml
MODE D’EMPLOI

Appliquer pendant au moins 6 mois par jour sur les zones de lésions leucémiques.

En période de fort ensoleillement, répétez l’application, en moyenne toutes les 2 heures.

Pour obtenir les résultats attendus, il est recommandé d’utiliser la crème de nuit série VITI-MELO NIGHT V en même temps."
"1758849950-10","https://www.gssante.com/category/nos-produits/pharmaceris/gamme-f-fluid-fondation/?action=soussouscat&id_cat=3","GAMME V - Vitiligo","https://www.gssante.com/category/nos-produits/pharmaceris/v-vitiligo/?action=souscat&id_cat=3","PHARMACERIS V
                                Crème repigmentante avec une zone réduite de taches de blanchiment pour le visage et le corps la nuit
                                                                Viti-melo night 40 ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-repigmentante-avec-une-zone-reduite-de-taches-de-blanchiment-pour-le-visage-et-le-corps-la-nuit/?action=souscat&id_cat=3&id_cat1=17","Crème repigmentante avec une zone réduite de taches de blanchiment pour le visage et le corps la nuit","https://www.gssante.com/MtdGssante/uploads/2020/06/creme-repigmentante.jpg","GAMME A - Peau Allergique et Sensible","","Viti-melo night 40 ml","-100% empêche les taches de se propager

-100% hydrate

-Haute tolérance et efficacité

-Testé cliniquement et dermatologiquement
LES INDICATIONS

La crème est recommandée pour les adultes et les enfants (à partir de 5 ans) la nuit, pour les peaux à problèmes de vitiligo et de dépigmentation, afin d’uniformiser le teint.

Un meilleur effet de repigmentation est fourni par la thérapie en combinaison avec la lampe NB-UVB.
ACTION

Le complexe unique d’acide romarin et de thioproline, qui a un brevet pour la protection contre les radicaux libres, affecte globalement les cellules de la peau avec le problème du vitiligo.

A un effet anti-inflammatoire sur IL-6 (brevet en instance) et protège les mitochondries contre les dommages oxydatifs.

L’action des substances actives vise à protéger la production de colorant et à prévenir sa disparition.

Narngenine (brevet en instance) impliquée dans l’inactivation des gènes activant le vitiligo (Bmal1, Per1) et activant les mitochondries, en combinaison avec le VDR, le stimulant du récepteur des vitamines. D, favorise la repigmentation de la peau. La crème fonctionne correctement (RPF 4,2 × 10 21 = facteur de protection antioxydant) et réduit la zone des taches de vitiligo, inhibant leur expansion et créant de nouvelles lésions.

Le facteur MelPigment réduit les différences de couleur, colorant progressivement la peau et réduisant la décoloration.
HAUTE TOLÉRANCE ET EFFICACITÉ

TESTÉ CLINIQUEMENT ET DERMATOLOGIQUEMENT

Capacité: 40 ml
MODE D’EMPLOI

Utiliser quotidiennement la nuit.

Appliquer avec précision sur les zones pigmentées, en partant du centre de la tache vers les bords.

Pour obtenir les résultats attendus, appliquer simultanément la crème de jour de la série VITI-MELO DAY V."
