product_name,primary_image_path,secondary_image_path,price,category
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 4 Peptide Lifting Creme Jour 50ml,ClinicWayImages\CLINIC_WAY_4_Peptide_Lifting_Creme_Jour_50ml.jpg,No secondary image,87.340 TND,Soins hydratants et nourrissants
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 5° DermoCreme anti-rides de Nuit,ClinicWayImages\CLINIC_WAY_5°_DermoCreme_anti-rides_de_Nuit.jpg,No secondary image,79.490 TND,Visage
CLINIC WAY Serum 30ml,ClinicWayImages\CLINIC_WAY_Serum_30ml.jpg,No secondary image,110.000 TND,Visage
CLINIC WAY 5° DermoCreme anti-rides de Nuit,ClinicWayImages\CLINIC_WAY_5°_DermoCreme_anti-rides_de_Nuit.jpg,No secondary image,79.490 TND,Visage
Clinic Way Concentré Peptide Rajeunissant,ClinicWayImages\Clinic_Way_Concentré_Peptide_Rajeunissant.jpg,No secondary image,149.900 TND,soins anti-âge et anti-rides
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY W Fond de Teint N°015,ClinicWayImages\CLINIC_WAY_W_Fond_de_Teint_N°015.jpg,No secondary image,85.450 TND,fond de teint fluide
CLINIC WAY Capsules 30 Cap,ClinicWayImages\CLINIC_WAY_Capsules_30_Cap.jpg,No secondary image,115.260 TND,Anti-Âge et Anti-Oxydant
CLINIC WAY Capsules 30 Cap,ClinicWayImages\CLINIC_WAY_Capsules_30_Cap.jpg,No secondary image,115.260 TND,Anti-Âge et Anti-Oxydant
CLINIC WAY Capsules 30 Cap,ClinicWayImages\CLINIC_WAY_Capsules_30_Cap.jpg,No secondary image,115.260 TND,Anti-Âge et Anti-Oxydant
CLINIC WAY 5° DermoCreme anti-rides de Nuit,ClinicWayImages\CLINIC_WAY_5°_DermoCreme_anti-rides_de_Nuit.jpg,No secondary image,79.490 TND,Visage
CLINIC WAY Capsules 30 Cap,ClinicWayImages\CLINIC_WAY_Capsules_30_Cap.jpg,No secondary image,115.260 TND,Anti-Âge et Anti-Oxydant
CLINIC WAY 4 Peptide Lifting Creme Jour 50ml,ClinicWayImages\CLINIC_WAY_4_Peptide_Lifting_Creme_Jour_50ml.jpg,No secondary image,87.340 TND,Soins hydratants et nourrissants
CLINIC WAY Serum 30ml,ClinicWayImages\CLINIC_WAY_Serum_30ml.jpg,No secondary image,110.000 TND,Visage
CLINIC WAY Capsules 30 Cap,ClinicWayImages\CLINIC_WAY_Capsules_30_Cap.jpg,No secondary image,115.260 TND,Anti-Âge et Anti-Oxydant
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY Serum 30ml,ClinicWayImages\CLINIC_WAY_Serum_30ml.jpg,No secondary image,110.000 TND,Visage
CLINIC WAY 5° DermoCreme anti-rides de Nuit,ClinicWayImages\CLINIC_WAY_5°_DermoCreme_anti-rides_de_Nuit.jpg,No secondary image,79.490 TND,Visage
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 4 Peptide Lifting Creme Jour 50ml,ClinicWayImages\CLINIC_WAY_4_Peptide_Lifting_Creme_Jour_50ml.jpg,No secondary image,87.340 TND,Soins hydratants et nourrissants
Clinic Way Concentré Peptide Rajeunissant,ClinicWayImages\Clinic_Way_Concentré_Peptide_Rajeunissant.jpg,No secondary image,149.900 TND,soins anti-âge et anti-rides
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 5° DermoCreme anti-rides de Nuit,ClinicWayImages\CLINIC_WAY_5°_DermoCreme_anti-rides_de_Nuit.jpg,No secondary image,79.490 TND,Visage
CLINIC WAY Capsules 30 Cap,ClinicWayImages\CLINIC_WAY_Capsules_30_Cap.jpg,No secondary image,115.260 TND,Anti-Âge et Anti-Oxydant
CLINIC WAY W Fond de Teint N°015,ClinicWayImages\CLINIC_WAY_W_Fond_de_Teint_N°015.jpg,No secondary image,85.450 TND,fond de teint fluide
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY Serum 30ml,ClinicWayImages\CLINIC_WAY_Serum_30ml.jpg,No secondary image,110.000 TND,Visage
CLINIC WAY 5° DermoCreme anti-rides de Nuit,ClinicWayImages\CLINIC_WAY_5°_DermoCreme_anti-rides_de_Nuit.jpg,No secondary image,79.490 TND,Visage
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY Capsules 30 Cap,ClinicWayImages\CLINIC_WAY_Capsules_30_Cap.jpg,No secondary image,115.260 TND,Anti-Âge et Anti-Oxydant
CLINIC WAY 4 Peptide Lifting Creme Jour 50ml,ClinicWayImages\CLINIC_WAY_4_Peptide_Lifting_Creme_Jour_50ml.jpg,No secondary image,87.340 TND,Soins hydratants et nourrissants
CLINIC WAY 4 Peptide Lifting Creme Nuit 50ml,ClinicWayImages\CLINIC_WAY_4_Peptide_Lifting_Creme_Nuit_50ml.jpg,No secondary image,97.580 TND,Soins hydratants et nourrissants
CLINIC WAY 5° Trousse,ClinicWayImages\CLINIC_WAY_5°_Trousse.jpg,No secondary image,125.500 TND,Visage
CLINIC WAY 5° DermoCreme anti-rides de Nuit,ClinicWayImages\CLINIC_WAY_5°_DermoCreme_anti-rides_de_Nuit.jpg,No secondary image,79.490 TND,Visage
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 5° DermoCreme anti-rides de Nuit,ClinicWayImages\CLINIC_WAY_5°_DermoCreme_anti-rides_de_Nuit.jpg,No secondary image,79.490 TND,Visage
CLINIC WAY 5° DermoCreme anti-rides de Nuit,ClinicWayImages\CLINIC_WAY_5°_DermoCreme_anti-rides_de_Nuit.jpg,No secondary image,79.490 TND,Visage
Clinic Way 3 Crème Anti-Rides Jour SPF20 50ml,ClinicWayImages\Clinic_Way_3_Crème_Anti-Rides_Jour_SPF20_50ml.jpg,No secondary image,79.180 TND,"Rides marquées, perte de fermeté"
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY W Fond de Teint N°015,ClinicWayImages\CLINIC_WAY_W_Fond_de_Teint_N°015.jpg,No secondary image,85.450 TND,fond de teint fluide
CLINIC WAY W Fond de Teint Ivory N°1,ClinicWayImages\CLINIC_WAY_W_Fond_de_Teint_Ivory_N°1.jpg,No secondary image,80.480 TND,Fond de teint
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY Capsules 30 Cap,ClinicWayImages\CLINIC_WAY_Capsules_30_Cap.jpg,No secondary image,115.260 TND,Anti-Âge et Anti-Oxydant
CLINIC WAY 5° DermoCreme anti-rides de Nuit,ClinicWayImages\CLINIC_WAY_5°_DermoCreme_anti-rides_de_Nuit.jpg,No secondary image,79.490 TND,Visage
CLINIC WAY Serum 30ml,ClinicWayImages\CLINIC_WAY_Serum_30ml.jpg,No secondary image,110.000 TND,Visage
CLINIC WAY W Fond de Teint N°015,ClinicWayImages\CLINIC_WAY_W_Fond_de_Teint_N°015.jpg,No secondary image,85.450 TND,fond de teint fluide
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 3° Trousse,ClinicWayImages\CLINIC_WAY_3°_Trousse.jpg,No secondary image,104.670 TND,Visage
CLINIC WAY 5° DermoCreme anti-rides de Nuit,ClinicWayImages\CLINIC_WAY_5°_DermoCreme_anti-rides_de_Nuit.jpg,No secondary image,79.490 TND,Visage
CLINIC WAY Serum 30ml,ClinicWayImages\CLINIC_WAY_Serum_30ml.jpg,No secondary image,110.000 TND,Visage
CLINIC WAY Serum 30ml,ClinicWayImages\CLINIC_WAY_Serum_30ml.jpg,No secondary image,110.000 TND,Visage
