target_name,matched_name,similarity_score,price,category
Coffret Clinic Way 1°,CLINIC WAY 3° Trousse,0.5714285714285714,104.670 TND,Visage
Coffret Clinic Way 1° -30% Nuit + Trousse,CLINIC WAY 3° Trousse,0.6666666666666666,104.670 TND,Visage
Clinic Way 2 Crème de Jour,CLINIC WAY 4 Peptide Lifting Creme Jour 50ml,0.6666666666666666,87.340 TND,Soins hydratants et nourrissants
Clinic Way  Mask 1 + 2,CLINIC WAY 3° Trousse,0.6842105263157895,104.670 TND,Visage
Clinic Way  Mask 3 + 4,CLINIC WAY 3° Trousse,0.6842105263157895,104.670 TND,Visage
Coffret Clinic Way 4° -30% Nuit + Trousse,CLINIC WAY 3° Trousse,0.6666666666666666,104.670 TND,Visage
Coffret Clinic Way 2°  -50% Nuit + Trousse,CLINIC WAY 3° Trousse,0.6666666666666666,104.670 TND,Visage
Clinic Way  Anti Rides Yeux 3 + 4,CLINIC WAY 5° DermoCreme anti-rides de Nuit,0.696969696969697,79.490 TND,Visage
Clinic Way  Serum 1 + 2,CLINIC WAY Serum 30ml,0.8648648648648649,110.000 TND,Visage
Clinic Way 1 Crème de Nuit,CLINIC WAY 5° DermoCreme anti-rides de Nuit,0.6885245901639344,79.490 TND,Visage
Clinic Way  Masque EXTRA Raffermissant,Clinic Way Concentré Peptide Rajeunissant,0.6410256410256411,149.900 TND,soins anti-âge et anti-rides
Coffret Clinic Way 3° -50% Nuit + Trousse,CLINIC WAY 3° Trousse,0.7,104.670 TND,Visage
Clinic Way  Patch MASK,CLINIC WAY 3° Trousse,0.6363636363636364,104.670 TND,Visage
Clinic Way  W Fond de Teint 02,CLINIC WAY W Fond de Teint N°015,0.9019607843137255,85.450 TND,fond de teint fluide
Coffret Clinic Way 3° -50% Capsules + Trousse,CLINIC WAY Capsules 30 Cap,0.6511627906976745,115.260 TND,Anti-Âge et Anti-Oxydant
Coffret Clinic Way Capsules + F.TEINT -50%  + Trousse,CLINIC WAY Capsules 30 Cap,0.6153846153846154,115.260 TND,Anti-Âge et Anti-Oxydant
Clinic Way   (Capsules),CLINIC WAY Capsules 30 Cap,0.78125,115.260 TND,Anti-Âge et Anti-Oxydant
Coffret Clinic Way 2° Créme Jour + Unidose Nuit + Trousse,CLINIC WAY 5° DermoCreme anti-rides de Nuit,0.5806451612903226,79.490 TND,Visage
Coffret Clinic Way 2° -50% Capsules + Trousse,CLINIC WAY Capsules 30 Cap,0.6511627906976745,115.260 TND,Anti-Âge et Anti-Oxydant
Clinic Way 3 Crème de Jour,CLINIC WAY 4 Peptide Lifting Creme Jour 50ml,0.6666666666666666,87.340 TND,Soins hydratants et nourrissants
Coffret Clinic Way 4 Crème + Serum,CLINIC WAY Serum 30ml,0.6274509803921569,110.000 TND,Visage
Coffret Clinic Way 3° Capsules+Créme de jour -50% + Unidose créme nuit,CLINIC WAY Capsules 30 Cap,0.5555555555555556,115.260 TND,Anti-Âge et Anti-Oxydant
Coffret Clinic Way 3° Serum+Créme Jour -50% + Trousse,CLINIC WAY 3° Trousse,0.5833333333333334,104.670 TND,Visage
Clinic Way  Serum 3 + 4,CLINIC WAY Serum 30ml,0.8648648648648649,110.000 TND,Visage
Clinic Way 3 Crème de Nuit,CLINIC WAY 5° DermoCreme anti-rides de Nuit,0.6885245901639344,79.490 TND,Visage
Clinic Way  Patch Contour Yeux,CLINIC WAY 3° Trousse,0.6,104.670 TND,Visage
Clinic Way 5 Crème de Jour,CLINIC WAY 4 Peptide Lifting Creme Jour 50ml,0.6666666666666666,87.340 TND,Soins hydratants et nourrissants
Clinic Way Concentré Peptide Rajeunissant 30ml,Clinic Way Concentré Peptide Rajeunissant,0.9425287356321839,149.900 TND,soins anti-âge et anti-rides
Coffret Clinic Way 2° -30% Nuit + Trousse,CLINIC WAY 3° Trousse,0.6666666666666666,104.670 TND,Visage
Clinic Way 4 Crème de Nuit,CLINIC WAY 5° DermoCreme anti-rides de Nuit,0.6885245901639344,79.490 TND,Visage
Coffret Clinic Way 5° Capsules +Créme de jour -50% + Unidose créme nuit,CLINIC WAY Capsules 30 Cap,0.5504587155963303,115.260 TND,Anti-Âge et Anti-Oxydant
Clinic Way  W Fond de Teint 01,CLINIC WAY W Fond de Teint N°015,0.9411764705882353,85.450 TND,fond de teint fluide
Coffret Clinic Way 3° -30% Nuit + Trousse,CLINIC WAY 3° Trousse,0.7,104.670 TND,Visage
Clinic Way serum,CLINIC WAY Serum 30ml,0.8648648648648649,110.000 TND,Visage
Coffret Clinic Way 4° Créme Jour - Unidose Nuit + Trousse,CLINIC WAY 5° DermoCreme anti-rides de Nuit,0.5806451612903226,79.490 TND,Visage
Coffret Clinic Way 1° Serum+Créme Jour -50% + Trousse,CLINIC WAY 3° Trousse,0.5555555555555556,104.670 TND,Visage
Coffret Clinic Way 4°,CLINIC WAY 3° Trousse,0.5714285714285714,104.670 TND,Visage
Coffret Clinic Way 4° Capsules +Créme de jour -50%+ Unidose créme nuit,CLINIC WAY Capsules 30 Cap,0.5454545454545454,115.260 TND,Anti-Âge et Anti-Oxydant
Clinic Way 4 Crème de Jour,CLINIC WAY 4 Peptide Lifting Creme Jour 50ml,0.6666666666666666,87.340 TND,Soins hydratants et nourrissants
Coffret Clinic Way 2° + Créme nuit -50%,CLINIC WAY 4 Peptide Lifting Creme Nuit 50ml,0.6075949367088608,97.580 TND,Soins hydratants et nourrissants
Coffret Clinic Way 5° -50% Créme nuit+ Trousse,CLINIC WAY 5° Trousse,0.6268656716417911,125.500 TND,Visage
Clinic Way 5 Crème de Nuit,CLINIC WAY 5° DermoCreme anti-rides de Nuit,0.6885245901639344,79.490 TND,Visage
Coffret Clinic Way 4° Serum+Créme Jour -50% + Trousse,CLINIC WAY 3° Trousse,0.5555555555555556,104.670 TND,Visage
Coffret Clinic Way 2°,CLINIC WAY 3° Trousse,0.5714285714285714,104.670 TND,Visage
Coffret Clinic Way 3° Créme Jour - Unidose Nuit + Trousse,CLINIC WAY 5° DermoCreme anti-rides de Nuit,0.5806451612903226,79.490 TND,Visage
Clinic Way  Anti Rides Yeux 1 + 2,CLINIC WAY 5° DermoCreme anti-rides de Nuit,0.696969696969697,79.490 TND,Visage
Clinique Way Ecran Anti Age SPF50,Clinic Way 3 Crème Anti-Rides Jour SPF20 50ml,0.6578947368421053,79.180 TND,"Rides marquées, perte de fermeté"
Coffret Clinic Way 2° Serum+Créme Jour -50% + Trousse,CLINIC WAY 3° Trousse,0.5555555555555556,104.670 TND,Visage
Clinic Way  W Fond de Teint 03,CLINIC WAY W Fond de Teint N°015,0.9019607843137255,85.450 TND,fond de teint fluide
Clinc Way Intensive Anti Age,CLINIC WAY W Fond de Teint Ivory N°1,0.576271186440678,80.480 TND,Fond de teint
Coffret Clinic Way 1° -50% Nuit + Trousse,CLINIC WAY 3° Trousse,0.6666666666666666,104.670 TND,Visage
Coffret Clinic Way 4° -50% Capsules + Trousse,CLINIC WAY Capsules 30 Cap,0.6511627906976745,115.260 TND,Anti-Âge et Anti-Oxydant
Clinic Way 2 Crème de Nuit,CLINIC WAY 5° DermoCreme anti-rides de Nuit,0.6885245901639344,79.490 TND,Visage
Coffret Clinic Way 2 Crème + Serum,CLINIC WAY Serum 30ml,0.6274509803921569,110.000 TND,Visage
Clinic Way  W Fond de Teint 015,CLINIC WAY W Fond de Teint N°015,0.9615384615384616,85.450 TND,fond de teint fluide
Coffret Clinic Way 4° -50% Nuit + Trousse,CLINIC WAY 3° Trousse,0.6666666666666666,104.670 TND,Visage
Clinic Way  Oleogel,CLINIC WAY 3° Trousse,0.6666666666666666,104.670 TND,Visage
Coffret Clinic Way 3°,CLINIC WAY 3° Trousse,0.6190476190476191,104.670 TND,Visage
Clinic Way DERMOCREME NUIT PREMIERES RIDES,CLINIC WAY 5° DermoCreme anti-rides de Nuit,0.7317073170731707,79.490 TND,Visage
Coffret Clinic Way 3 Crème + Serum,CLINIC WAY Serum 30ml,0.6274509803921569,110.000 TND,Visage
Coffret Clinic Way 1 Crème + Serum,CLINIC WAY Serum 30ml,0.6274509803921569,110.000 TND,Visage
