product_name,primary_image_path,secondary_image_path,price,category
Dermedic Capilarte Shampooing Normalisant pour Cheveux Hypersensible 300ml,DermedicImages\Dermedic_Capilarte_Shampooing_Normalisant_pour_Cheveux_Hypersensible_300ml.jpg,DermedicImages\Dermedic_Capilarte_Shampooing_Normalisant_pour_Cheveux_Hypersensible_300ml_2.jpg,TND,Anti Chute de Cheveux & Fortifiants
Dermedic Coffret Hydrain 3 Hialuro Creme de Nuit Hydratante Anti Age,DermedicImages\Dermedic_Coffret_Hydrain_3_Hialuro_Creme_de_Nuit_Hydratante_Anti_Age.jpg,No secondary image,TND,Coffrets
Dermedic Sunbrella Ecran SPF50+ Peaux Normales à Seches 40ml (2eme Offert),DermedicImages\Dermedic_Sunbrella_Ecran_SPF50+_Peaux_Normales_à_Seches_40ml_(2eme_Offert).jpg,No secondary image,TND,Protection supérieure à SPF 50+
Dermedic Coffret Melumin Anti Tache Peau Sensible,DermedicImages\Dermedic_Coffret_Melumin_Anti_Tache_Peau_Sensible.jpg,No secondary image,TND,Coffrets
Dermedic Coffret Melumin Anti Tache Peau Sensible,DermedicImages\Dermedic_Coffret_Melumin_Anti_Tache_Peau_Sensible.jpg,No secondary image,TND,Coffrets
Dermedic Normacne Crème Hydratante Matifiante 40ml,DermedicImages\Dermedic_Normacne_Crème_Hydratante_Matifiante_40ml.jpg,No secondary image,TND,Soins hydratants et nourrissants
Dermedic Coffret Melumin Anti Tache Peau Sensible,DermedicImages\Dermedic_Coffret_Melumin_Anti_Tache_Peau_Sensible.jpg,No secondary image,TND,Coffrets
Dermedic Sunbrella Creme Solaire SPF50+ Peaux Mixte à Grasse 40ml,DermedicImages\Dermedic_Sunbrella_Creme_Solaire_SPF50+_Peaux_Mixte_à_Grasse_40ml.jpg,No secondary image,TND,Peaux grasses
Dermedic Hydrain 3 Gel Nettoyant 200ml,DermedicImages\Dermedic_Hydrain_3_Gel_Nettoyant_200ml.jpg,DermedicImages\Dermedic_Hydrain_3_Gel_Nettoyant_200ml_2.jpg,TND,"Gel, crème, huile"
Dermedic Normacne Gel Nettoyant Antibactérien 200ml,DermedicImages\Dermedic_Normacne_Gel_Nettoyant_Antibactérien_200ml.jpg,DermedicImages\Dermedic_Normacne_Gel_Nettoyant_Antibactérien_200ml_2.jpg,TND,Nettoyage
Dermedic Capilarte Shampooing Anti-Pelliculaire 300ml,DermedicImages\Dermedic_Capilarte_Shampooing_Anti-Pelliculaire_300ml.jpg,DermedicImages\Dermedic_Capilarte_Shampooing_Anti-Pelliculaire_300ml_2.jpg,TND,Shampoing antipelliculaire
Dermedic Normacne Crème Hydratante Matifiante 40ml,DermedicImages\Dermedic_Normacne_Crème_Hydratante_Matifiante_40ml.jpg,No secondary image,TND,Soins hydratants et nourrissants
Dermedic Hydrain 3 Eau Micellaire 200ml,DermedicImages\Dermedic_Hydrain_3_Eau_Micellaire_200ml.jpg,No secondary image,TND,"Eau micellaire, tonique, lotion"
Dermedic Hydrain 3 Eau Micellaire 500ml,DermedicImages\Dermedic_Hydrain_3_Eau_Micellaire_500ml.jpg,DermedicImages\Dermedic_Hydrain_3_Eau_Micellaire_500ml_2.jpg,TND,"Eau micellaire, tonique, lotion"
Dermedic Coffret Melumin Creme Jour et Nuit Anti Taches,DermedicImages\Dermedic_Coffret_Melumin_Creme_Jour_et_Nuit_Anti_Taches.jpg,No secondary image,TND,Crèmes
Dermedic Normacne Traitement Local Anti-Acne 15ml,DermedicImages\Dermedic_Normacne_Traitement_Local_Anti-Acne_15ml.jpg,No secondary image,TND,"Soins peau grasse, mixte et acné"
DERMEDIC Hydrain 3 Serum 30ml,DermedicImages\DERMEDIC_Hydrain_3_Serum_30ml.jpg,DermedicImages\DERMEDIC_Hydrain_3_Serum_30ml_2.jpg,TND,Hydratants peaux sèches
Dermedic Sunbrella Spray SPF50+ 150ml,DermedicImages\Dermedic_Sunbrella_Spray_SPF50+_150ml.jpg,No secondary image,TND,Protection supérieure à SPF 50+
Dermedic Capilarte Shampooing Anti Chute et Repousse 300ml,DermedicImages\Dermedic_Capilarte_Shampooing_Anti_Chute_et_Repousse_300ml.jpg,DermedicImages\Dermedic_Capilarte_Shampooing_Anti_Chute_et_Repousse_300ml_2.jpg,TND,Shampooing Anti-Chutes
Dermedic Hydrain 3 Creme Hydratante en Profondeur SPF15 50ml,DermedicImages\Dermedic_Hydrain_3_Creme_Hydratante_en_Profondeur_SPF15_50ml.jpg,DermedicImages\Dermedic_Hydrain_3_Creme_Hydratante_en_Profondeur_SPF15_50ml_2.jpg,TND,hydratants toutes peaux
Dermedic Sunbrella Spray SPF50+ 150ml,DermedicImages\Dermedic_Sunbrella_Spray_SPF50+_150ml.jpg,No secondary image,TND,Protection supérieure à SPF 50+
Dermedic Sunbrella Creme Solaire SPF50+ Peaux Seche 40ml,DermedicImages\Dermedic_Sunbrella_Creme_Solaire_SPF50+_Peaux_Seche_40ml.jpg,No secondary image,TND,Protection supérieure à SPF 50+
Dermedic Hydrain 3 Eau Micellaire 500ml,DermedicImages\Dermedic_Hydrain_3_Eau_Micellaire_500ml.jpg,DermedicImages\Dermedic_Hydrain_3_Eau_Micellaire_500ml_2.jpg,TND,"Eau micellaire, tonique, lotion"
Dermedic Capilarte Shampooing Anti Chute et Repousse 300ml,DermedicImages\Dermedic_Capilarte_Shampooing_Anti_Chute_et_Repousse_300ml.jpg,DermedicImages\Dermedic_Capilarte_Shampooing_Anti_Chute_et_Repousse_300ml_2.jpg,TND,Shampooing Anti-Chutes
DERMEDIC Oilage Contour des Yeux Concentree Anti-Rides 15ml,DermedicImages\DERMEDIC_Oilage_Contour_des_Yeux_Concentree_Anti-Rides_15ml.jpg,DermedicImages\DERMEDIC_Oilage_Contour_des_Yeux_Concentree_Anti-Rides_15ml_2.jpg,TND,Anti-âge yeux
Dermedic Capilarte Shampooing Anti-Pelliculaire 300ml,DermedicImages\Dermedic_Capilarte_Shampooing_Anti-Pelliculaire_300ml.jpg,DermedicImages\Dermedic_Capilarte_Shampooing_Anti-Pelliculaire_300ml_2.jpg,TND,Shampoing antipelliculaire
Dermedic Oilage Creme de Jour Nourrissante Anti-Age 50ml,DermedicImages\Dermedic_Oilage_Creme_de_Jour_Nourrissante_Anti-Age_50ml.jpg,DermedicImages\Dermedic_Oilage_Creme_de_Jour_Nourrissante_Anti-Age_50ml_2.jpg,TND,soins anti-âge et anti-rides
Dermedic Hydrain 3 Creme Hydratante en Profondeur SPF15 50ml,DermedicImages\Dermedic_Hydrain_3_Creme_Hydratante_en_Profondeur_SPF15_50ml.jpg,DermedicImages\Dermedic_Hydrain_3_Creme_Hydratante_en_Profondeur_SPF15_50ml_2.jpg,TND,hydratants toutes peaux
Dermedic Hydrain 3 Gel Creme Ultra-Hydratant 50g,DermedicImages\Dermedic_Hydrain_3_Gel_Creme_Ultra-Hydratant_50g.jpg,DermedicImages\Dermedic_Hydrain_3_Gel_Creme_Ultra-Hydratant_50g_2.jpg,TND,Soins hydratants et nourrissants
Dermedic Sunbrella Ecran SPF50+ Peaux Normales à Seches 40ml (2eme Offert),DermedicImages\Dermedic_Sunbrella_Ecran_SPF50+_Peaux_Normales_à_Seches_40ml_(2eme_Offert).jpg,No secondary image,TND,Protection supérieure à SPF 50+
