web-scraper-order,web-scraper-start-url,pagination-selector,image-src,image2-src,priceCurrency,data,data2,data3,category
1758459784-43,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-capilarte-shampooing-normalisant-pour-cheveux-hypersensible-300ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-capilarte-shampooing-normalisant-pour-cheveux-hypersensible-300ml-3-400x400.jpg,TND,42.840 TND,Lire la suite,Dermedic Capilarte Shampooing Normalisant pour Cheveux Hypersensible 300ml,Anti Chute de Cheveux & Fortifiants
1758459784-29,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2023/03/57-400x400.jpg,,TND,61.100 TND,Lire la suite,Dermedic Coffret Hydrain 3 Hialuro Creme de Nuit Hydratante Anti Age,Coffrets
1758459780-13,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2024/07/dermedic-sunbrella-ecran-spf50-peaux-normales-a-seches-40ml-2eme-offert-400x400.jpg,,TND,53.980 TND,Ajouter au panier,Dermedic Sunbrella Ecran SPF50+ Peaux Normales à Seches 40ml (2eme Offert),Protection supérieure à SPF 50+
1758459780-21,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2025/02/dermedic-coffret-melumin-anti-tache-peau-sensible-400x400.jpg,,TND,92.820 TND,Ajouter au panier,Dermedic Coffret Melumin Anti Tache Peau Sensible,Coffrets
1758459780-21,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2025/02/dermedic-coffret-melumin-anti-tache-peau-sensible-400x400.jpg,,TND,92.820 TND,Ajouter au panier,Dermedic Coffret Melumin Anti Tache Peau Sensible,Coffrets
1758459780-7,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2022/11/dermedic-normacne-creme-hydratante-matifiante-40-ml-1-400x400.jpg,,TND,53.970 TND,Ajouter au panier,Dermedic Normacne Crème Hydratante Matifiante 40ml,Soins hydratants et nourrissants
1758459780-21,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2025/02/dermedic-coffret-melumin-anti-tache-peau-sensible-400x400.jpg,,TND,92.820 TND,Ajouter au panier,Dermedic Coffret Melumin Anti Tache Peau Sensible,Coffrets
1758459780-6,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-sunbrella-ecran-creme-solaire-spf50-peaux-mixte-a-grasse-40ml-400x400.jpg,,TND,53.970 TND,Ajouter au panier,Dermedic Sunbrella Creme Solaire SPF50+ Peaux Mixte à Grasse 40ml,Peaux grasses
1758459780-8,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/11/dermedic-hydrain3-gel-nettoyant-200ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/11/dermedic-hydrain3-gel-nettoyant-200ml-3-400x400.jpg,TND,42.916 TND,Ajouter au panier,Dermedic Hydrain 3 Gel Nettoyant 200ml,"Gel, crème, huile"
1758459780-3,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2022/11/dermedic-normacne-gel-nettoyant-antibacterien-200ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2022/11/DERMEDIC-Normacne-Gel-Nettoyant-Antibacterien-200-ml-1-maparatunisie-400x400.jpg,TND,37.769 TND,Ajouter au panier,Dermedic Normacne Gel Nettoyant Antibactérien 200ml,Nettoyage
1758459784-44,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2024/09/dermedic-capilarte-shampooing-pellicules-300ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2024/09/dermedic-capilarte-shampooing-pellicules-300ml-3-400x400.jpg,TND,42.126 TND,Lire la suite,Dermedic Capilarte Shampooing Anti-Pelliculaire 300ml,Shampoing antipelliculaire
1758459780-7,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2022/11/dermedic-normacne-creme-hydratante-matifiante-40-ml-1-400x400.jpg,,TND,53.970 TND,Ajouter au panier,Dermedic Normacne Crème Hydratante Matifiante 40ml,Soins hydratants et nourrissants
1758459784-25,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain3-eau-micellaire-200ml-400x400.webp,,TND,15.350 TND,Lire la suite,Dermedic Hydrain 3 Eau Micellaire 200ml,"Eau micellaire, tonique, lotion"
1758459780-1,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain3-eau-micellaire-500ml-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain3-eau-micellaire-500ml-2-400x400.jpg,TND,29.988 TND,Ajouter au panier,Dermedic Hydrain 3 Eau Micellaire 500ml,"Eau micellaire, tonique, lotion"
1758459784-40,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2023/12/SITE-39-400x400.jpg,,TND,97.800 TND,Lire la suite,Dermedic Coffret Melumin Creme Jour et Nuit Anti Taches,Crèmes
1758459780-11,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2023/04/dermedic-normacne-traitement-local-anti-acne-15ml-400x400.jpg,,TND,27.239 TND,Ajouter au panier,Dermedic Normacne Traitement Local Anti-Acne 15ml,"Soins peau grasse, mixte et acné"
1758459784-33,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-serum-30-ml-4-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/02/dermedic-hydrain-3-serum-30-ml-2-400x400.jpg,TND,87.100 TND,Lire la suite,DERMEDIC Hydrain 3 Serum 30ml,Hydratants peaux sèches
1758459784-41,https://www.maparatunisie.tn/nos-marques/dermedic/,https://www.maparatunisie.tn/nos-marques/dermedic/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-sunbrella-spray-spf50-150ml-1-400x400.webp,,TND,55.080 TND,Lire la suite,Dermedic Sunbrella Spray SPF50+ 150ml,Protection supérieure à SPF 50+
1758459780-10,https://www.maparatunisie.tn/nos-marques/dermedic/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-capilarte-shampooing-anti-chute-et-repousse-300-ml-1-400x400.jpg,https://www.maparatunisie.tn/wp-content/uploads/2021/03/dermedic-capilarte-shampooing-anti-chute-et-repousse-300-ml-3-400x400.jpg,TND,43.980 TND,Ajouter au panier,Dermedic Capilarte Shampooing Anti Chute et Repousse 300ml,Shampooing Anti-Chutes
