product_name,primary_image_path,secondary_image_path,price,category
LIRENE Creme Mains Aux Roses 30% 75ml,LireneImages\LIRENE_Creme_Mains_Aux_Roses_30%_75ml.jpg,No secondary image,TND,Soins des mains
Lirene Sun Protection Body Milk For Kids SPF50+ 150ml,LireneImages\Lirene_Sun_Protection_Body_Milk_For_Kids_SPF50+_150ml.jpg,No secondary image,TND,Protection supérieure à SPF 50+
LIRENE Gel Nettoyant Cassis 150ml,LireneImages\LIRENE_Gel_Nettoyant_Cassis_150ml.jpg,No secondary image,TND,"Démaquillants, nettoyants visage"
Lirene Creme Pieds Stop 20 % Urea 75 ml,LireneImages\Lirene_Creme_Pieds_Stop_20_%_Urea_75_ml.jpg,No secondary image,TND,Pieds secs et abîmés
LIRENE Eau Micellaire Concombre 200ml,LireneImages\LIRENE_Eau_Micellaire_Concombre_200ml.jpg,No secondary image,TND,"Démaquillants, nettoyants visage"
Lirene Creme Pieds Stop 20 % Urea 75 ml,LireneImages\Lirene_Creme_Pieds_Stop_20_%_Urea_75_ml.jpg,No secondary image,TND,Pieds secs et abîmés
LIRENE Gel Nettoyant Cassis 150ml,LireneImages\LIRENE_Gel_Nettoyant_Cassis_150ml.jpg,No secondary image,TND,"Démaquillants, nettoyants visage"
LIRENE Lactima Duo Forte+ Gel Intime 300 ml,LireneImages\LIRENE_Lactima_Duo_Forte+_Gel_Intime_300_ml.jpg,No secondary image,TND,Toilette intime
LIRENE Huile Seche SPF50+ 150ml,LireneImages\LIRENE_Huile_Seche_SPF50+_150ml.jpg,No secondary image,TND,Huiles Sèches
LIRENE  Creme-serum Mains Au Cassis 25% 75ml,LireneImages\LIRENE_Creme-serum_Mains_Au_Cassis_25%_75ml.jpg,No secondary image,TND,Soins Spécifiques
LIRENE Gel Nettoyant Argile Blanche 150ml,LireneImages\LIRENE_Gel_Nettoyant_Argile_Blanche_150ml.jpg,No secondary image,TND,Visage
Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,LireneImages\Lirene_Coffret_Aqua_Bubbles_Hydro_Gel_50ml_+_Eau_Micellaire_200ml.jpg,No secondary image,TND,Coffrets
LIRENE Mezo Collagene Creme De Jour Premieres Rides 50ml,LireneImages\LIRENE_Mezo_Collagene_Creme_De_Jour_Premieres_Rides_50ml.jpg,No secondary image,TND,Visage
LIRENE Mezo Collagene Creme Nuit Premieres Rides 50ml,LireneImages\LIRENE_Mezo_Collagene_Creme_Nuit_Premieres_Rides_50ml.jpg,No secondary image,TND,Premières Rides
LIRENE Gel Nettoyant Cassis 150ml,LireneImages\LIRENE_Gel_Nettoyant_Cassis_150ml.jpg,No secondary image,TND,"Démaquillants, nettoyants visage"
LIRENE Eau Micellaire Magnolia 400ml,LireneImages\LIRENE_Eau_Micellaire_Magnolia_400ml.jpg,No secondary image,TND,"Démaquillants, nettoyants visage"
LIRENE Serum Adoucissant Corps Wild Berry 200ml,LireneImages\LIRENE_Serum_Adoucissant_Corps_Wild_Berry_200ml.jpg,No secondary image,TND,Soins hydratants et nourrissants
LIRENE Acid Power Crème Hydratante Lissante 50ml,LireneImages\LIRENE_Acid_Power_Crème_Hydratante_Lissante_50ml.jpg,No secondary image,TND,Soins hydratants et nourrissants
LIRENE Ecran Protective Sun Lotion SPF50+ 175ml,LireneImages\LIRENE_Ecran_Protective_Sun_Lotion_SPF50+_175ml.jpg,No secondary image,TND,Protection supérieure à SPF 50+
LIRENE Mezo Collagene Creme De Jour Premieres Rides 50ml,LireneImages\LIRENE_Mezo_Collagene_Creme_De_Jour_Premieres_Rides_50ml.jpg,No secondary image,TND,Visage
LIRENE Acid Power Serum Hydratant A L’hydrolat de Bleuet 30ml,LireneImages\LIRENE_Acid_Power_Serum_Hydratant_A_L’hydrolat_de_Bleuet_30ml.jpg,No secondary image,TND,hydratants toutes peaux
LIRENE C+E Vitamin Energy Mousse Nettoyante 150ml,LireneImages\LIRENE_C+E_Vitamin_Energy_Mousse_Nettoyante_150ml.jpg,No secondary image,TND,"Lait, mousse, émulsion"
LIRENE C+E Vitamin Energy Mousse Nettoyante 150ml,LireneImages\LIRENE_C+E_Vitamin_Energy_Mousse_Nettoyante_150ml.jpg,No secondary image,TND,"Lait, mousse, émulsion"
LIRENE Mezo Collagene Creme De Jour Premieres Rides 50ml,LireneImages\LIRENE_Mezo_Collagene_Creme_De_Jour_Premieres_Rides_50ml.jpg,No secondary image,TND,Visage
