target_name,matched_name,similarity_score,price,category
LIRENE - Crème Mains Sange 20% 75ML,LIRENE Creme Mains Aux Roses 30% 75ml,0.8461538461538461,TND,Soins des mains
LIRENE - Lotion Protectrice Vanille Enfants SPF 50 150ML,Lirene Sun Protection Body Milk For Kids SPF50+ 150ml,0.6593406593406593,TND,Protection supérieure à SPF 50+
LIRENE - MAKE ME FRESH GEL NETTOYANT 150ML +PEELING 50%,LIRENE Gel Nettoyant Cassis 150ml,0.5507246376811594,TND,"Démaquillants, nettoyants visage"
LIRENE - Créme  pieds 30% Urea 75ml,Lirene Creme Pieds Stop 20 % Urea 75 ml,0.8,TND,Pieds secs et abîmés
LIRENE - EAU MICELLAIRE  C+E 3EN1,LIRENE Eau Micellaire Concombre 200ml,0.6792452830188679,TND,"Démaquillants, nettoyants visage"
LIRENE - Créme Pieds 20% Urea 75ML,Lirene Creme Pieds Stop 20 % Urea 75 ml,0.8363636363636363,TND,Pieds secs et abîmés
LIRENE - GEL NETTOYANT C+E 145ml,LIRENE Gel Nettoyant Cassis 150ml,0.8163265306122449,TND,"Démaquillants, nettoyants visage"
LIRENE  Gel de toilette Intime LACTIMA DUO FORTE 300ml,LIRENE Lactima Duo Forte+ Gel Intime 300 ml,0.5333333333333333,TND,Toilette intime
LIRENE - Huile Sèche SPF 50 150 ML,LIRENE Huile Seche SPF50+ 150ml,0.8979591836734694,TND,Huiles Sèches
LIRENE - Crème Mains Magnolia 15% 75ML + Gant pour les mains 3% (-50%),LIRENE  Creme-serum Mains Au Cassis 25% 75ml,0.5301204819277109,TND,Soins Spécifiques
LIRENE - Gel Nettoyant Menthe 150ML,LIRENE Gel Nettoyant Argile Blanche 150ml,0.8,TND,Visage
LIRENE- AQUA BUBBLES Eau Micellaire 200ml,Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,0.7415730337078652,TND,Coffrets
LIRENE - Mezo-Collagéne Créme de JOUR 50+,LIRENE Mezo Collagene Creme De Jour Premieres Rides 50ml,0.6666666666666666,TND,Visage
LIRENE - Mezo-Collagéne Créme de Nuit 50+,LIRENE Mezo Collagene Creme Nuit Premieres Rides 50ml,0.6666666666666666,TND,Premières Rides
LIRENE - ECO BABY GEL NETTOYANT 250ML,LIRENE Gel Nettoyant Cassis 150ml,0.6666666666666666,TND,"Démaquillants, nettoyants visage"
LIRENE - Vegan Créme Avocat +Eau micellaire Aloès vera -50%,LIRENE Eau Micellaire Magnolia 400ml,0.5063291139240507,TND,"Démaquillants, nettoyants visage"
LIRENE -  SERUM ADOUCISSANT CORPS Fruits des bois - 200ml,LIRENE Serum Adoucissant Corps Wild Berry 200ml,0.8148148148148148,TND,Soins hydratants et nourrissants
COFFRET LIRENE - ACID POWER SÉRUM HYDRATANT 30ml+ CREME HYDRATANTE 50%,LIRENE Acid Power Crème Hydratante Lissante 50ml,0.58,TND,Soins hydratants et nourrissants
LIRENE - Lotion Protectrice PEAUX SENSIBLES SPF 50 175 ML,LIRENE Ecran Protective Sun Lotion SPF50+ 175ml,0.6206896551724138,TND,Protection supérieure à SPF 50+
COFFRET LIRENE -MEZO COLLAGENE CREME JOUR +(NUIT -50%),LIRENE Mezo Collagene Creme De Jour Premieres Rides 50ml,0.6451612903225806,TND,Visage
LIRENE - ACID POWER SÉRUM HYDRATANT 30ml,LIRENE Acid Power Serum Hydratant A L’hydrolat de Bleuet 30ml,0.775,TND,hydratants toutes peaux
LIRENE- AQUA BUBBLES Mousse Nettoyante 150ml,LIRENE C+E Vitamin Energy Mousse Nettoyante 150ml,0.6842105263157895,TND,"Lait, mousse, émulsion"
LIRENE - ECO BABY BAIN MOUSSANT 250ML,LIRENE C+E Vitamin Energy Mousse Nettoyante 150ml,0.5507246376811594,TND,"Lait, mousse, émulsion"
LIRENE - Mezo-Collagéne Créme de Jour,LIRENE Mezo Collagene Creme De Jour Premieres Rides 50ml,0.6197183098591549,TND,Visage
LIRENE-MOUSSE NETTOYANTE MAKE-ME SOFT 150ML,LIRENE Mousse Nettoyante Tout Type De Peau 150ml,0.684931506849315,TND,"Démaquillants, nettoyants visage"
LIRENE - Chaussettes Delicate and Smooth 3% Urea,LIRENE CHAUSSETTES DELICATE AND SMOOTH 3% UREA,1.0,TND,Soins Spécifiques
LIRENE - C+ D Crème Gel Peau Mixtes Grasses 50MLL,LIRENE Crème Lissante Aux Amandes 50ml,0.5846153846153846,TND,Soins hydratants et nourrissants
LIRENE  Gel de toilette Intime LACTIMA DUO FORTE 100ml,LIRENE Lactima Duo Forte+ Gel Intime 300 ml,0.5333333333333333,TND,Toilette intime
LIRENE - BB CREAM SPF 50+ 02  NUDE  30 ML,Lirene BB Crème Hydratante SPF50 02 – Nude 30ml,0.7761194029850746,TND,BB crème
LIRENE- AQUA BUBBLES Gel Nettoyant 150ml,LIRENE Gel Nettoyant Cassis 150ml,0.6551724137931034,TND,"Démaquillants, nettoyants visage"
LIRENE - Gel Nettoyant Menthe 150ML + PEELING BAMBOO 50%,LIRENE Gel Nettoyant Argile Blanche 150ml,0.631578947368421,TND,Visage
LIRENE - ACID POWER FILLER ANTI AGE  50 ml,LIRENE Acid Power Filling Anti Age Cream 50ml,0.8285714285714286,TND,soins anti-âge et anti-rides
LIRENE - CREME REGENERANTE  Corps et Visage  Pêches - 200ml,LIRENE Creme Regenerante Aloe Vera 50ml,0.6933333333333334,TND,soins anti-âge et anti-rides
LIRENE- COFFRET AQUA BUBBLES Hydro-gel + MOUSSE AQUA 50%,Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,0.6862745098039216,TND,Coffrets
LIRENE- écran visage adulte Aloe vera spf50+50ml,LIRENE Creme Regenerante Aloe Vera 50ml,0.5833333333333334,TND,soins anti-âge et anti-rides
LIRENE - Crème Mains Cassis 25% 75ML,LIRENE  Creme-serum Mains Au Cassis 25% 75ml,0.9,TND,Soins Spécifiques
LIRENE - Gel Nettoyant Argile Blanche 150ML,LIRENE Gel Nettoyant Argile Blanche 150ml,1.0,TND,Visage
LIRENE - Gel Nettoyant Amande 150ML,LIRENE GEL LAVANT AMANDE 150ML,0.8163265306122449,TND,"Démaquillants, nettoyants visage"
LIRENE - Eau micellaire Magnolia 400ML,LIRENE Eau Micellaire Magnolia 400ml,1.0,TND,"Démaquillants, nettoyants visage"
LIRENE - Eau micellaire Aloès vera 400ML,LIRENE Eau Micellaire Magnolia 400ml,0.8,TND,"Démaquillants, nettoyants visage"
LIRENE - C+E VITAMIN ENERGY PEELING,LIRENE C+E Vitamin Energy Eau Micellaire 3 En 1 400ml,0.7096774193548387,TND,"Eau micellaire, tonique, lotion"
LIRENE - Vegan Créme Amande + Eau micellaire Aloès vera -50%,LIRENE Eau Micellaire Magnolia 400ml,0.5128205128205128,TND,"Démaquillants, nettoyants visage"
LIRENE - ACID POWER SÉRUM LISSANT a L'EXTRAIT DE ROSE 30ml,LIRENE Acid Power Serum Lissant A L’hydrolat De Rose 30ml,0.8764044943820225,TND,soins anti-âge et anti-rides
LIRENE - Lotion Protectrice Pour Enfants SPF 50 150 ML,"Lirene Kids Lait de Protection SPF 50, 150ml",0.6666666666666666,TND,Crèmes Solaires Enfant
LIRENE - Vegan Créme Avocat + (Gel Nettoyant Cassis 50%),LIRENE Gel Nettoyant Cassis 150ml,0.647887323943662,TND,"Démaquillants, nettoyants visage"
COFFRET LIRENE - ACID POWER SÉRUM LISSANT a L'EXTRAIT DE ROSE 30ml+ CREME FILLER ANTI AGE 50%,LIRENE Acid Power Serum Lissant A L’hydrolat De Rose 30ml,0.6290322580645161,TND,soins anti-âge et anti-rides
LIRENE - Crème Mains Magnolia 15% 75ML,LIRENE MAGNOLIA CREME MAINS 15% 75ML,0.8,TND,Soins Spécifiques
LIRENE-COCONUT crème illuminatrice doré (corps et visage) 150ml,LIRENE Coconut Shine Creme Illuminatrice 150ml,0.7096774193548387,TND,Soins hydratants et nourrissants
LIRENE - Vegan Créme Cerize + Eau micellaire Aloès vera -50%,LIRENE C+E Vitamin Energy Eau Micellaire 3 En 1 400ml,0.5454545454545454,TND,"Eau micellaire, tonique, lotion"
LIRENE - ACID POWER CRÈME ADOUCISSNATE & HYDRATANTE 50ml,LIRENE Acid Power Crème Hydratante Lissante 50ml,0.7380952380952381,TND,Soins hydratants et nourrissants
LIRENE - Gel Nettoyant Cassis 150ML,LIRENE Gel Nettoyant Cassis 150ml,1.0,TND,"Démaquillants, nettoyants visage"
LIRENE - Crème Mains Rose 30% 75ML,LIRENE Creme Mains Aux Roses 30% 75ml,0.9803921568627451,TND,Soins des mains
LIRENE - Vegan Créme Cerize + (Gel Nettoyant Menthe -50%),LIRENE Gel Nettoyant Argile Blanche 150ml,0.525,TND,Visage
LIRENE - Mezo-Collagéne Créme de Nuit 40+,LIRENE Mezo Collagene Creme Nuit Premieres Rides 50ml,0.64,TND,Premières Rides
LIRENE - CREME NORISSANTE C+D + SERUM C+D + GOMMAGE MANGUE GRATUITE,LIRENE Crème Lissante Aux Amandes 50ml,0.5,TND,Soins hydratants et nourrissants
LIRENE - MAKE ME FRESH PEELING 75ML,LIRENE Creme Mains Aux Roses 30% 75ml,0.5714285714285714,TND,Soins des mains
LIRENE - ECO BABY SHAMPOOING 250ML,LIRENE GEL LAVANT AMANDE 150ML,0.5,TND,"Démaquillants, nettoyants visage"
LIRENE - Peeling Bamboo à l'Extrait de Menthe 75ML,LIRENE PEELING BAMBOO A L’EXTRAIT DE MENTHE 75ML,0.9696969696969697,TND,"Démaquillants, nettoyants visage"
LIRENE  Gel de toilette Intime LACTIMA THERAPY 300ml,LIRENE Lactima Therapy Gel Intime Anti Inflammatoire 300ml,0.5714285714285715,TND,Toilette intime
LIRENE- AQUA BUBBLES Hydro-Serum 30ml,Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,0.5411764705882353,TND,Coffrets
LIRENE - Créme Protectrice Visage SPF 50 Enfants 50ML,LIRENE Ecran Protective Sun Lotion SPF50+ 175ml,0.5853658536585366,TND,Protection supérieure à SPF 50+
LIRENE - ACID POWER CRÈME TONIFIANTE & REVITALISANTE 50 ml,LIRENE Acid Power Crème Hydratante Lissante 50ml,0.7816091954022989,TND,Soins hydratants et nourrissants
LIRENE- écran visage adulte spf50+50ml,LIRENE Ecran Protective Sun Lotion SPF50+ 175ml,0.6,TND,Protection supérieure à SPF 50+
LIRENE - ECO BABY LAIT CORP 150ML,LIRENE PEELING BAMBOO A L’EXTRAIT DE MENTHE 75ML,0.5263157894736842,TND,"Démaquillants, nettoyants visage"
LIRENE - EAU TONIQUE C+E 200ml,LIRENE Eau Micellaire Concombre 200ml,0.5882352941176471,TND,"Démaquillants, nettoyants visage"
LIRENE- COFFRET AQUA BUBBLES Hydro-gel + Eau Micellaire Gratuite,Lirene Coffret Aqua Bubbles Hydro Gel 50ml + Eau Micellaire 200ml,0.8256880733944955,TND,Coffrets
