web-scraper-order,web-scraper-start-url,pagination-selector,image-src,priceCurrency,data,data2,data3,category
1758458180-30,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-creme-mains-aux-roses-30-75ml-400x400.jpg,TND,19.650 TND,Lire la suite,LIRENE Creme Mains Aux Roses 30% 75ml,Soins des mains
1758458177-22,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2025/08/643883fecd55b-sun-protection-body-milk-10e3152.bl8h-400x400.webp,TND,48.280 TND,Ajouter au panier,Lirene Sun Protection Body Milk For Kids SPF50+ 150ml,Protection supérieure à SPF 50+
1758458180-33,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Gel-Nettoyant-Cassis-400x400.jpg,TND,18.420 TND,Lire la suite,LIRENE Gel Nettoyant Cassis 150ml,"Démaquillants, nettoyants visage"
1758458177-4,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-creme-pieds-stop-20-urea-75-ml-400x400.jpg,TND,22.100 TND,Ajouter au panier,Lirene Creme Pieds Stop 20 % Urea 75 ml,Pieds secs et abîmés
1758458180-40,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2023/02/lirene-eau-micellaire-au-concombre-200-ml-400x400.webp,TND,14.900 TND,Lire la suite,LIRENE Eau Micellaire Concombre 200ml,"Démaquillants, nettoyants visage"
1758458177-4,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-creme-pieds-stop-20-urea-75-ml-400x400.jpg,TND,22.100 TND,Ajouter au panier,Lirene Creme Pieds Stop 20 % Urea 75 ml,Pieds secs et abîmés
1758458180-33,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/2/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Gel-Nettoyant-Cassis-400x400.jpg,TND,18.420 TND,Lire la suite,LIRENE Gel Nettoyant Cassis 150ml,"Démaquillants, nettoyants visage"
1758458177-10,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2022/11/LIRENE-Lactima-Duo-Forte-Gel-Intime-300-Ml-maparatunisie-400x400.jpg,TND,27.750 TND,Ajouter au panier,LIRENE Lactima Duo Forte+ Gel Intime 300 ml,Toilette intime
1758458183-57,https://www.maparatunisie.tn/nos-marques/lirene/,https://www.maparatunisie.tn/nos-marques/lirene/page/3/,https://www.maparatunisie.tn/wp-content/uploads/2022/12/LIRENE-Huile-Seche-SPF50-150ml-400x400.jpg,TND,48.190 TND,Lire la suite,LIRENE Huile Seche SPF50+ 150ml,Huiles Sèches
1758458177-15,https://www.maparatunisie.tn/nos-marques/lirene/,,https://www.maparatunisie.tn/wp-content/uploads/2021/03/lirene-creme-serum-mains-au-cassis-25-75ml-400x400.jpg,TND,19.000 TND,Ajouter au panier,LIRENE  Creme-serum Mains Au Cassis 25% 75ml,Soins Spécifiques
