target_name,matched_name,similarity_score,price,category
PHARMACERIS A HYALUROSENSILIUM Crème Hydratante,Pharmaceris A Hyaluro Sensilium Creme Acide Hyaluronique 40ml,0.7012987012987013,TND,Soins hydratants et nourrissants
PHARMACERIS X LIPOSUBTILIUM (Radiothérapie),PHARMACERIS X Liposubtilium Creme Apaisant 75 ml,0.5714285714285714,TND,Visage
PHARMACERIS W PURE LUMINIUM (Mousse Nettoyante 150ml),Pharmaceris A Puri Sensilium Mousse Nettoyante Apaisante 150ml,0.7380952380952381,TND,"Lait, mousse, émulsion"
PHARMACERIS A PURI SENSILIUM Mousse Nettoyante,Pharmaceris A Puri Sensilium Mousse Nettoyante Apaisante 150ml,0.8051948051948052,TND,"Lait, mousse, émulsion"
PHARMACERIS FOND DE TEINT SPF 50+ ( 01 IVORY ),Pharmaceris Fond de Teint SPF50+ (01 Ivory) 30ml,0.8666666666666667,TND,Protection Solaire Visage
PHARMACERIS W ANTIOX VIT C 15% 30ml,Pharmaceris W Antiox Vitamine C 15% Concentré Eclaircissant 30ml,0.6666666666666666,TND,Soins Spécifiques
PLATINUM MEN Créme Regénérante 50ml,PHARMACERIS W Triple Action Crème de jour éclaircissant SPF50+ 30 ml,0.5348837209302325,TND,soins anti-taches et dépigmentants
PHARMACERIS H Shampooing Anti-chute H-STIMUPRIN 250ML,Shampoing H-Nutrimelin pour Cheveux Secs et Abîmés 250ml,0.5909090909090909,TND,"Shampoing cheveux secs, fins, cassants"
PHARMACERIS H Shampooing  Antipelliculaire P grasses H-PURIN OILY @@@,PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,0.66,TND,Shampoing antipelliculaire
S PROTECTION SOLAIRE SPF 50+ ( Visage ) +1 Gratuit,Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,0.5684210526315789,TND,Protection solaire
PHARMACERIS H Shampooing Anti-chute & Anti pelliculaire  H-STIMUCLARIS 250ML,PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,0.6728971962616822,TND,Shampoing antipelliculaire
PHARMACERIS A MEDIC PROTECTION SPF 100+,Pharmaceris A Medic Protection SPF 100+ 75ml,0.9090909090909091,TND,Protection supérieure à SPF 50+
PHARMACERIS Fond de teint MATTIFIANT ( 03 TANNED ),Pharmaceris Fond de Teint SPF50+ (02 Sand) 30ml,0.5079365079365079,TND,Ecran solaire teinté
Pharmaceris T Puri SeboGel Nettoyant,Pharmaceris T Puri Sebogel Gel Nettoyant Purifiant 190ml,0.6875,TND,"Gel, crème, huile"
PHARMACERIS H Shampooing Chvx Fins & Affaiblis H-KERATINEUM 250ML@@@,Pharmaceris H-KERATINEUM Shampooing Cheveux Fins 250ml,0.5531914893617021,TND,"Shampoing cheveux secs, fins, cassants"
PHARMACERIS H Shampooing Normalisant Chvx Gras H-SEBOPURIN 250ML,Shampoing H-Nutrimelin pour Cheveux Secs et Abîmés 250ml,0.6464646464646465,TND,"Shampoing cheveux secs, fins, cassants"
PHARMACERIS Fond de teint MATTIFIANT ( 02 NATUREL ),Pharmaceris Fond de Teint SPF50+ (02 Sand) 30ml,0.5625,TND,Ecran solaire teinté
PHARMACERIS FOND DE TEINT SPF 50+ ( 02 SAND ),Pharmaceris Fond de Teint SPF50+ (02 Sand) 30ml,0.8620689655172413,TND,Ecran solaire teinté
Coffret Spray Anti-chute H-STIMUFORTEN 125ML + (H Stimuton 50%),Pharmaceris H Stimuforten Spray Anti Chute 125ml,0.5411764705882353,TND,Anti Chute de Cheveux & Fortifiants
PHARMACERIS S PROTECTION SOLAIRE SPF 50+ ENFANT ( Corps & Visage ),Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,0.5473684210526316,TND,Protection solaire
Pharmaceris T  Puri SeboGel Nettoyant Lot de 2 ( la 2° Gratuite),Pharmaceris T Puri Sebogel Gel Nettoyant Purifiant 190ml,0.625,TND,"Gel, crème, huile"
Pharmaceris T- Sebo Almond Peel- Crème de Nuit,Pharmaceris T Sebo Almond Peel Crème Nuit Exfoliante 50ml,0.7397260273972602,TND,Peaux à imperfections
PHARMACERIS H Aprés shampoing Anti-chute H-STIMULIN  @@@,PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,0.5333333333333333,TND,Shampoing antipelliculaire
PHARMACERIS P PURI-ICHTILIUM (Gel douche & Shampooing),PHARMACERIS PURI-ICHTILIUM Gel Douche Shampoing,0.972972972972973,TND,Shampoing antipelliculaire
PHARMACERIS W DEPIGMENT-INTENSE (Créme de Nuit 50ml),Pharmaceris Whitening Depigment Intense Creme de Nuit Anti Tache 50ml,0.6966292134831461,TND,soins anti-taches et dépigmentants
PHARMACERIS H Shampooing Apaisant cuir Chevelu sensible H-SENSITONIN 250ML,Pharmaceris H-Sensitonin Shampooing Apaisant pour Cuir Chevelu Sensible 250ml,0.8,TND,"Shampoing cheveux secs, fins, cassants"
S PROTECTION SOLAIRE SPF 50+ ( Bébé ) + 1 SPF 50+Invisible,Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,0.5656565656565656,TND,Protection solaire
PHARMACERIS T XRAY-LIPOSUBTILIUM CREME REGENERATRICE/ HYDRATANTE,PHARMACERIS X Liposubtilium Creme Apaisant 75 ml,0.6024096385542169,TND,Visage
PHARMACERIS W MELA PROTECT SPF50+ (Créme de Jour 50ml),Pharmaceris A Medic Protection SPF 100+ 75ml,0.5970149253731343,TND,Protection supérieure à SPF 50+
PHARMACERIS H Shampooing restructurant H-NUTRIMELIN 250ML @@@,Shampoing H-Nutrimelin pour Cheveux Secs et Abîmés 250ml,0.6041666666666666,TND,"Shampoing cheveux secs, fins, cassants"
Coffret E Ecran Minéral SPF50+ Peaux Sèches + 1 Gratuit,PHARMACERIS E Emotopic Ecran Mineral SPF 50+ 75ml,0.5301204819277109,TND,Solaire
COFFRET T- Sebo Almond Peel- Crème de Nuit + PURI SEBOSTATIC GRAUITE,Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),0.6017699115044248,TND,Black Friday
COFFRET VITA SENSILIUM + PURI SENSILIUM (MOUSSE) GRATUITE,Pharmaceris A Puri Sensilium Mousse Nettoyante Apaisante 150ml,0.52,TND,"Lait, mousse, émulsion"
PHARMACERIS P ICHTILIUM (Créme pour le Visage),PHARMACERIS X Liposubtilium Creme Apaisant 75 ml,0.5517241379310345,TND,Visage
COFFRET INTENSIVE (Créme de Nuit ) +TRIPLE ACTION  SPF 50+  50%,Pharmaceris Whitening Depigment Intense Creme de Nuit Anti Tache 50ml,0.5272727272727272,TND,soins anti-taches et dépigmentants
PHARMACERIS H Spray Anti-chute H-STIMUFORTEN 125ML,Pharmaceris H Stimuforten Spray Anti Chute 125ml,0.7,TND,Anti Chute de Cheveux & Fortifiants
PHARMACERIS S PROTECTION SOLAIRE SPF 50+ ENFANT ET ADULTES,Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,0.5555555555555556,TND,Protection solaire
PLATINUM MEN Créme Hydratante Visage et Contour des yeux 50ml,Pharmaceris A Opti-Sensilium Duo-Actif Antirides Contour des Yeux 15ml,0.5714285714285714,TND,Anti-âge yeux
PHARMACERIS Fond de teint MATTIFIANT ( 01 IVOIRE ),Pharmaceris Fond de Teint SPF50+ (01 Ivory) 30ml,0.625,TND,Protection Solaire Visage
Pharmaceris E Bath Emulsion 200 ml,PHARMACERIS E Bath Emulsion 400 ml,0.95,TND,Soins hydratants et nourrissants
PHARMACERIS S PROTECTION SOLAIRE SPF 50+ ( Visage ),Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,0.6190476190476191,TND,Protection solaire
PHARMACERIS FOND DE TEINT INTENSE COVERAGE ( 01 IVORY ),Pharmaceris Fond de Teint SPF50+ (01 Ivory) 30ml,0.6086956521739131,TND,Protection Solaire Visage
Pharmaceris T- Sebo Almond Peel 5%- Crème de Nuit 50ml,Pharmaceris T Sebo Almond Peel Crème Nuit Exfoliante 50ml,0.7901234567901234,TND,Peaux à imperfections
PHARMACERIS H Shamp Anti-chute & Anti cheveux Gris H-STIMUTONE  @@@,PHARMACERIS H-STIMUTONE Shampooing Anti-cheveux Gris et Repousse,0.5252525252525253,TND,Shampoing
Pharmaceris T Sebo Moistatic Crème Hydratante,PHARMACERIS T Sebo Moistatic Creme Hydratante 50 ml,0.9090909090909091,TND,Visage
PHARMACERIS W MELADERMIX PEEL 20% 30ml,Pharmaceris W MELADERMIX PEEL Exfoliant 30ml,0.7777777777777778,TND,Gommages Exfoliants
Pharmaceris E Ecran Minéral SPF50+ Peaux Sèches,PHARMACERIS E Emotopic Ecran Mineral SPF 50+ 75ml,0.5970149253731343,TND,Solaire
PHARMACERIS  FOND DE TEINT INTENSE COVERAGE ( 02 SAND ),Pharmaceris Fond de Teint SPF50+ (02 Sand) 30ml,0.5970149253731343,TND,Ecran solaire teinté
PHARMACERIS P BODY-ICHTILIUM ( Créme pour le Corps ),PHARMACERIS X Liposubtilium Creme Apaisant 75 ml,0.5,TND,Visage
PHARMACERIS H Shampooing  Anti pelliculaire  H-PURIN SPECIAL 250 ml,PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,0.7474747474747475,TND,Shampoing antipelliculaire
Coffret Spray Anti-chute H-STIMUFORTEN 125ML + (H Stimupurin 50%),Pharmaceris H Stimuforten Spray Anti Chute 125ml,0.5287356321839081,TND,Anti Chute de Cheveux & Fortifiants
COFFRET ALBUCIN  NUIT+ ALBUCIN JOUR (GRATUITE),Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),0.5957446808510638,TND,Black Friday
PLATINUM MEN Gel Douche 200ml,PHARMACERIS PURI-ICHTILIUM Gel Douche Shampoing,0.5538461538461539,TND,Shampoing antipelliculaire
PHARMACERIS H Shampooing Antipelliculaire Pellicules sèches H-PURIN DRY @@@,PHARMACERIS H-PURIN Shampooing Antipelliculaire Seches 250ml,0.6238532110091743,TND,Shampoing antipelliculaire
"COFFRET PHARMACERIS T RETINOL 0,3 + PURI SEBOGEL GRATUITE",Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),0.6888888888888889,TND,Black Friday
"PHARMACERIS T RETINOL 0,3",PHARMACERIS T Pack Retinolcreme,0.5,TND,MaPara MaPromo
PHARMACERIS W OPTI-LUMIN (Contour Des Yeux Eclaircissant 15ml),Pharmaceris W OPTI LUMIN Crème Correctrice Eclaircissante Yeux 15ml,0.7083333333333334,TND,Contour des yeux
Pharmaceris S Huile Sèche SPF 50+,Pharmaceris S Huile Seche SPF 50+ Corps et Cheveux 200ml,0.6206896551724138,TND,Huiles Sèches
S PROTECTION SOLAIRE SPF 50+ 1 SPF 50 Invisble Gratuit,Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,0.5544554455445545,TND,Protection solaire
PHARMACERIS W DEPIGMENT-TONIQUE (Eau Eclaircissante  200ml),Pharmaceris W Dépigment Tonique Éclaircissant 200ml,0.9,TND,"Eau micellaire, tonique, lotion"
PHARMACERIS H Shampooing H-STIMUPEEL PEELING CAPILAIRE 125ML,PHARMACERIS Shampooing H-stimuclaris Antipelliculaire Anti Chute 250ml,0.6415094339622641,TND,Shampoing antipelliculaire
PHARMACERIS P PSORITAR INTENSIVE ( Créme Multifonctionnelle pour le Visage et Corps ),Pharmaceris P Psoritar Intensive Creme Multifonctionnelle pour le Psoriasis Visage et Corps 50ml,0.8661417322834646,TND,Soins Spécifiques
COFFRET ALBUCIN NUIT + ALBUCIN JOUR (GRATUITE),Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),0.6021505376344086,TND,Black Friday
PLATINUM MEN Shampoing Anti-Chute 200ml,Pharmaceris H-KERATINEUM Shampooing Cheveux Fins 250ml,0.6341463414634146,TND,"Shampoing cheveux secs, fins, cassants"
PHARMACERIS A HYALUROSENSILIUM Crème Hydratante+ Mini Mousse 50ML GRATUITE,Pharmaceris A Vita-Sensilium Creme Visage Hydratante SPF20 50ml,0.6226415094339622,TND,Soins hydratants et nourrissants
PHARMACERIS A PREBIO SENSILIQUE Eau Micellaire,Pharmaceris A Prebio Sensilique Eau Micellaire Prebiotique 200ml,0.7804878048780488,TND,"Eau micellaire, tonique, lotion"
PHARMACERIS S PROTECTION SOLAIRE SPF 50+ ( Corps & Visage 150 ml ),Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,0.6185567010309279,TND,Protection solaire
COFFRET PHARMACERIS H Spray Anti-chute H-STIMUFORTEN 125ML (PARCK 3 MOIS),Pharmaceris H Stimuforten Spray Anti Chute 125ml,0.5679012345679012,TND,Anti Chute de Cheveux & Fortifiants
Pharmaceris E Bath Emulsion 400 ml,PHARMACERIS E Bath Emulsion 400 ml,1.0,TND,Soins hydratants et nourrissants
"COFFRET  T RETINOL 0,3 + PURI SEBOSTATIC GRATUITE",Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),0.6666666666666666,TND,Black Friday
PHARMACERIS FOND DE TEINT HYDRATANT & ANTIOXIDENT ( 01 IVORY ),Pharmaceris Fond de Teint SPF50+ (01 Ivory) 30ml,0.5405405405405406,TND,Protection Solaire Visage
Pharmaceris T  MOUSSE T PURI SEBOSTATIC+ 2EME GRATUITE,Pharmaceris S SPF50 Peaux à Imperfections 50ml + Mousse Nettoyante Puri-Sebostatic 150ml Offerte,0.5486725663716814,TND,MaPara MaPromo
Coffret  Spray anti-chute +Shampoing Anti-Chute H-STIMUPRIN 50%,PHARMACERIS H-STIMUTONE Shampooing Anti-cheveux Gris et Repousse,0.5357142857142857,TND,Shampoing
S PROTECTION SOLAIRE SPF 50+ ENFANT + 1 SPF50 Invisible Gratuit,Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,0.5849056603773585,TND,Protection solaire
PHARMACERIS S PROTECTION SOLAIRE SPF 50+ ( Bébé ),Pharmaceris S Dermopediatric Protection Solaire Enfant SPF50+ 125ml,0.6341463414634146,TND,Protection solaire
"Coffret T Retinol 0,3 + ( Mini  SeboGel Nettoyant)",Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),0.7096774193548387,TND,Black Friday
PLATINUM MEN Créme Anti-Rides 50ml,Pharmaceris Whitening Depigment Intense Creme de Nuit Anti Tache 50ml,0.5454545454545454,TND,soins anti-taches et dépigmentants
PHARMACERIS COFFRET MEDIC PROTECTION SPF 100+MOUSSE A GRATUTE,Pharmaceris A Medic Protection SPF 100+ 75ml,0.6753246753246753,TND,Protection supérieure à SPF 50+
COFFRET SEBO MOSTATIC + PURI SEBOSTATIC (MOUSSE) GRATUITE,Pharmaceris T Coffret Retinol Creme de Nuit + Gel Nettoyant (Offert),0.5384615384615384,TND,Black Friday
